clip_id,speech_sec,voiced_ratio,n_seg
0C6i34q2-f8.003,13.898,0.9265333333333332,4
0D7W2pR4RpQ.004,13.154,0.8769333333333333,6
0FVu7VKIg2s.000,11.724,0.7816,5
0G9vplL8ae8.001,13.25,0.8833333333333333,6
0G9vplL8ae8.003,13.376,0.8917333333333333,7
0LqfKzp11kg.000,11.976,0.7984000000000001,5
0MB91ku0eEw.003,14.346,0.9564,4
0ObEtA6Q8vU.002,14.514,0.9676,2
0ObEtA6Q8vU.003,13.57,0.9046666666666668,6
0ObEtA6Q8vU.005,13.638,0.9092,5
0QTR0WiJSNk.001,13.086,0.8724000000000001,7
0RLFM1ehSFM.000,14.51,0.9673333333333332,3
0VnZngec8sc.001,14.734,0.9822666666666666,3
0VnZngec8sc.003,14.672,0.9781333333333334,3
0VnZngec8sc.004,14.868,0.9912,2
0Wr69VD_oXI.004,13.574,0.9049333333333334,5
0ZK5jQAvhFo.004,13.09,0.8726666666666667,6
0_xOGmydDN0.001,14.154,0.9436,4
0_xOGmydDN0.002,13.506,0.9004,6
0_xOGmydDN0.003,14.542,0.9694666666666668,3
0_xOGmydDN0.004,14.704,0.9802666666666668,3
0axZSeaUbfs.002,14.834,0.9889333333333332,2
0axZSeaUbfs.004,14.702,0.9801333333333332,3
0axZSeaUbfs.005,13.924,0.9282666666666668,6
0dIqLMMn4jY.000,14.058,0.9372,4
0fMw9o1v2tY.001,12.642,0.8428,6
0fMw9o1v2tY.002,14.254,0.9502666666666666,3
0fMw9o1v2tY.003,14.544,0.9696,3
0gv5Z0qt2jc.000,12.07,0.8046666666666666,5
0gv5Z0qt2jc.001,11.918,0.7945333333333333,3
0gv5Z0qt2jc.002,11.042,0.7361333333333333,6
0gv5Z0qt2jc.003,13.126,0.8750666666666667,5
0gv5Z0qt2jc.004,11.066,0.7377333333333334,8
0gv5Z0qt2jc.005,12.966,0.8644,5
0hWbtuRVUgM.001,14.866,0.9910666666666668,2
0hWbtuRVUgM.005,14.154,0.9436,4
0iQIfGnKflc.001,10.66,0.7106666666666667,6
0iQIfGnKflc.002,12.994,0.8662666666666666,6
0iXXdsO95O0.000,13.026,0.8684,6
0kg6pmbSN6A.000,13.286,0.8857333333333333,5
0kg6pmbSN6A.001,12.064,0.8042666666666667,7
0kg6pmbSN6A.002,12.68,0.8453333333333333,5
0kg6pmbSN6A.005,13.296,0.8864,4
0mym1CooiTE.000,13.738,0.9158666666666666,6
0mym1CooiTE.001,14.612,0.9741333333333332,2
0mym1CooiTE.003,14.8,0.9866666666666668,3
0mym1CooiTE.004,13.07,0.8713333333333334,3
0n2vWTs6XwA.001,12.642,0.8428,6
0tse0Fsy_rg.001,9.386,0.6257333333333333,4
0tse0Fsy_rg.002,12.422,0.8281333333333334,5
0tse0Fsy_rg.004,9.284,0.6189333333333333,7
0u56Q_QmxIM.002,10.334,0.6889333333333333,9
0u56Q_QmxIM.004,10.948,0.7298666666666667,6
0uCqd5hZcyI.000,11.472,0.7647999999999999,4
0uCqd5hZcyI.005,12.706,0.8470666666666666,6
0zJcYnsh55g.003,13.386,0.8924,4
1-GgVRmAEoo.002,12.146,0.8097333333333334,10
1-GgVRmAEoo.003,8.324,0.5549333333333333,7
1-GgVRmAEoo.004,11.682,0.7788,6
117jrwvl2Nc.000,14.998,0.9998666666666666,1
117jrwvl2Nc.004,15.0,1.0,1
12Ezy1y1cWY.001,9.178,0.6118666666666667,8
12Ezy1y1cWY.005,6.02,0.4013333333333333,7
12Hbl_oZF9c.001,14.998,0.9998666666666666,1
12Hbl_oZF9c.003,14.45,0.9633333333333332,2
12lqQE6oPNE.001,11.6,0.7733333333333333,4
13KtmgntgQw.002,12.904,0.8602666666666666,6
13XlKeC_p3U.000,14.386,0.9590666666666666,2
13XlKeC_p3U.001,14.9,0.9933333333333334,2
13kjwEtSyXc.000,14.606,0.9737333333333332,3
13kjwEtSyXc.002,12.324,0.8216,6
13kjwEtSyXc.004,13.814,0.9209333333333334,1
15yOT2ZolPE.002,13.29,0.8859999999999999,4
176vWywoq9E.000,12.222,0.8148,7
176vWywoq9E.001,12.076,0.8050666666666667,5
176vWywoq9E.002,11.308,0.7538666666666667,5
176vWywoq9E.004,13.674,0.9116,4
184MlJCcboQ.000,14.09,0.9393333333333334,4
186c7kCyCHQ.005,11.882,0.7921333333333334,4
19cplBTXyoY.002,12.738,0.8492,6
19pTUX8KfYM.000,14.642,0.9761333333333332,2
1AMp8Y_0UGc.000,13.674,0.9116,4
1AMp8Y_0UGc.002,12.738,0.8492,6
1AMp8Y_0UGc.004,12.42,0.828,6
1CYzbX8AaP8.001,12.672,0.8448,8
1CYzbX8AaP8.003,13.772,0.9181333333333334,5
1DCnIad1Y0w.002,14.674,0.9782666666666666,2
1Gn4GX8miWQ.000,14.702,0.9801333333333332,3
1Gn4GX8miWQ.001,14.934,0.9956,1
1Gn4GX8miWQ.002,14.608,0.9738666666666668,3
1Gn4GX8miWQ.003,14.966,0.9977333333333332,1
1Gn4GX8miWQ.004,14.382,0.9588,3
1Gn4GX8miWQ.005,14.13,0.942,2
1Kb5d-w3YJ8.002,11.01,0.734,8
1Lv72Si4GnY.001,10.404,0.6936,7
1OGu_7IljCo.004,14.998,0.9998666666666666,1
1RMdiCbNNh4.003,13.866,0.9244,4
1RMdiCbNNh4.005,13.798,0.9198666666666668,5
1S0SxmfbOus.002,14.77,0.9846666666666668,2
1UaqZEUUk9I.000,14.606,0.9737333333333332,3
1UaqZEUUk9I.002,15.0,1.0,1
1W7XLdNpEgc.001,13.13,0.8753333333333334,4
1W7XLdNpEgc.005,12.592,0.8394666666666667,4
1Wh2mIFrGvk.001,13.314,0.8876000000000001,6
1XqMZQu_pP4.002,14.9,0.9933333333333334,2
1YsZ4GPpyBA.004,13.474,0.8982666666666667,6
1YsZ4GPpyBA.005,13.64,0.9093333333333332,5
1ZqHFoxLz54.000,12.154,0.8102666666666667,8
1cqwKxx6GF8.001,13.126,0.8750666666666667,5
1cqwKxx6GF8.004,13.022,0.8681333333333333,7
1cqwKxx6GF8.005,14.122,0.9414666666666668,4
1dOaM7zWPo8.000,14.966,0.9977333333333332,1
1eOvtoZCie8.000,13.516,0.9010666666666668,4
1eOvtoZCie8.002,13.834,0.9222666666666668,4
1eOvtoZCie8.004,14.9,0.9933333333333334,2
1eOvtoZCie8.005,12.798,0.8532,7
1fsFL_qNYlQ.001,13.834,0.9222666666666668,4
1fsFL_qNYlQ.005,14.478,0.9652,3
1hpZ2ecWqtI.002,13.164,0.8775999999999999,5
1hpZ2ecWqtI.003,11.394,0.7596,6
1hpZ2ecWqtI.005,13.29,0.8859999999999999,4
1izSTcQI7H4.000,12.368,0.8245333333333333,4
1izSTcQI7H4.004,11.614,0.7742666666666668,7
1jC4vsQsjwM.002,13.418,0.8945333333333333,4
1jC4vsQsjwM.004,14.414,0.9609333333333332,3
1jC4vsQsjwM.005,14.542,0.9694666666666668,3
1m67onLoRwY.000,14.836,0.9890666666666666,2
1m67onLoRwY.003,14.902,0.9934666666666666,1
1mHjMNZZvFo.000,13.574,0.9049333333333334,5
1mHjMNZZvFo.003,13.588,0.9058666666666666,2
1mHjMNZZvFo.004,13.806,0.9204,3
1mHjMNZZvFo.005,14.448,0.9632,3
1mODTfLRGdI.000,14.774,0.9849333333333332,1
1mODTfLRGdI.001,13.39,0.8926666666666667,3
1mODTfLRGdI.003,14.322,0.9548,2
1mReUxIEuw0.000,10.276,0.6850666666666666,6
1mReUxIEuw0.005,9.954,0.6636000000000001,6
1mdMhaq5p4w.001,14.77,0.9846666666666668,2
1mdMhaq5p4w.002,14.258,0.9505333333333332,2
1mdMhaq5p4w.004,11.498,0.7665333333333333,4
1mdMhaq5p4w.005,12.674,0.8449333333333333,6
1mfrM-FT-5E.000,12.382,0.8254666666666667,7
1pm5uoU85FI.000,14.022,0.9348,5
1pm5uoU85FI.001,14.612,0.9741333333333332,2
1pm5uoU85FI.003,14.77,0.9846666666666668,2
1q-N_zbsAg0.000,12.834,0.8556,6
1q-N_zbsAg0.001,9.968,0.6645333333333333,4
1q-N_zbsAg0.003,12.362,0.8241333333333334,4
1q-N_zbsAg0.004,12.724,0.8482666666666667,3
1sjXuXtx9-E.000,13.646,0.9097333333333334,3
1tPH6PNeOSk.002,14.518,0.9678666666666668,1
1tPH6PNeOSk.004,14.866,0.9910666666666668,2
1uCO2d0pFg0.000,14.082,0.9388,6
1wWMWbl6ILg.004,12.906,0.8604,4
1yIGI42lzak.001,12.578,0.8385333333333332,6
1yIGI42lzak.002,12.968,0.8645333333333334,6
1yIGI42lzak.003,13.09,0.8726666666666667,6
1yIGI42lzak.005,12.866,0.8577333333333333,6
1yjRBwUiYxs.005,12.894,0.8596,7
2-LDYe7OXZU.000,13.806,0.9204,3
2-LDYe7OXZU.001,14.482,0.9654666666666666,2
2-LDYe7OXZU.003,12.236,0.8157333333333334,5
2-LDYe7OXZU.005,13.546,0.9030666666666666,4
26ZnknvfdNM.001,14.574,0.9716,3
26ZnknvfdNM.002,14.222,0.9481333333333332,3
26ZnknvfdNM.003,14.602,0.9734666666666668,4
26ZnknvfdNM.004,13.934,0.9289333333333332,3
29UCGJldICw.005,13.294,0.8862666666666666,3
2AV8m02PjdU.000,10.6,0.7066666666666667,6
2AV8m02PjdU.002,12.362,0.8241333333333334,4
2AV8m02PjdU.003,12.834,0.8556,6
2AYq7CdNXNo.000,14.674,0.9782666666666666,2
2AYq7CdNXNo.001,14.446,0.9630666666666666,3
2AYq7CdNXNo.003,14.61,0.974,2
2AYq7CdNXNo.004,14.51,0.9673333333333332,3
2DZb5yIc6Fg.001,11.166,0.7444000000000001,7
2DZb5yIc6Fg.002,13.78,0.9186666666666666,3
2DZb5yIc6Fg.003,9.832,0.6554666666666668,6
2Fgn78rYjPM.005,9.926,0.6617333333333334,7
2GHz8LYflE0.000,12.71,0.8473333333333334,5
2HE6cw3HFPk.001,14.706,0.9804,2
2HE6cw3HFPk.003,13.926,0.9284,5
2IwWILRuuNU.003,14.124,0.9416,4
2IwWILRuuNU.004,14.67,0.978,3
2IwWILRuuNU.005,13.634,0.9089333333333334,6
2KSBoJZMcMU.003,13.194,0.8796,4
2KSBoJZMcMU.004,12.78,0.852,5
2KSBoJZMcMU.005,14.186,0.9457333333333332,4
2Lgd2Ye-1L8.000,14.998,0.9998666666666666,1
2NNYN1ZCJhw.003,14.386,0.9590666666666666,2
2OAA4slRc5M.004,14.09,0.9393333333333334,4
2P1FbMJLUAs.000,13.478,0.8985333333333333,5
2P1FbMJLUAs.003,13.994,0.9329333333333332,4
2P1FbMJLUAs.005,13.766,0.9177333333333332,5
2PSGksTyrnI.001,12.972,0.8648,4
2PSGksTyrnI.003,9.412,0.6274666666666667,7
2PSGksTyrnI.004,8.228,0.5485333333333333,6
2PSGksTyrnI.005,14.278,0.9518666666666667,5
2RQGNwx_nlI.000,14.702,0.9801333333333332,3
2SzC9dm4Yy4.002,9.412,0.6274666666666667,7
2T3oK1Gse2g.000,13.61,0.9073333333333332,4
2T3oK1Gse2g.002,13.446,0.8964,5
2TMl5EMrdVI.002,13.03,0.8686666666666666,5
2TMl5EMrdVI.003,13.186,0.8790666666666667,6
2TMl5EMrdVI.004,13.35,0.89,5
2TMl5EMrdVI.005,11.852,0.7901333333333334,5
2TXrDZgbDHE.001,8.472,0.5648,9
2TXrDZgbDHE.005,2.236,0.1490666666666666,1
2TbU3Eg2i4A.003,13.032,0.8688,6
2TbU3Eg2i4A.004,9.03,0.602,5
2TbU3Eg2i4A.005,8.394,0.5596,4
2UqnC_rFcRQ.001,10.916,0.7277333333333333,7
2UqnC_rFcRQ.002,11.234,0.7489333333333333,6
2UqnC_rFcRQ.003,10.586,0.7057333333333333,8
2WuhWF4fAOQ.001,12.592,0.8394666666666667,4
2WuhWF4fAOQ.002,13.938,0.9292,2
2WuhWF4fAOQ.003,11.48,0.7653333333333333,2
2WuhWF4fAOQ.004,14.738,0.9825333333333331,2
2_OOIcYfLV0.003,13.934,0.9289333333333332,3
2bAsXLQjlt8.001,14.384,0.9589333333333332,3
2bAsXLQjlt8.002,14.282,0.9521333333333334,4
2bAsXLQjlt8.004,13.67,0.9113333333333332,5
2bAsXLQjlt8.005,13.994,0.9329333333333332,4
2ceHmUmguzk.000,12.258,0.8171999999999999,6
2ceHmUmguzk.001,13.266,0.8844,4
2ceHmUmguzk.002,12.958,0.8638666666666667,7
2ceHmUmguzk.005,13.976,0.9317333333333334,2
2d6btbaNdfo.004,13.798,0.9198666666666668,5
2f7rLXwzP3s.000,14.642,0.9761333333333332,2
2f7rLXwzP3s.002,14.418,0.9612,2
2fzLibPAtvI.004,14.998,0.9998666666666666,1
2fzLibPAtvI.005,12.99,0.866,7
2hhqEWiv4eI.000,13.654,0.9102666666666668,3
2hhqEWiv4eI.001,14.676,0.9784,2
2hhqEWiv4eI.002,13.794,0.9196,6
2hhqEWiv4eI.004,11.658,0.7772,6
2kqPuht5jTg.002,15.0,1.0,1
2kqPuht5jTg.004,14.316,0.9544,4
2kqPuht5jTg.005,14.866,0.9910666666666668,2
2mfmw63l88g.001,13.192,0.8794666666666667,5
2mfmw63l88g.003,13.19,0.8793333333333333,5
2mfmw63l88g.004,13.104,0.8735999999999999,4
2mfmw63l88g.005,12.972,0.8648,4
2mgj9ncREyA.000,14.998,0.9998666666666666,1
2mgj9ncREyA.005,14.998,0.9998666666666666,1
2oEUp9sGRGk.000,11.71,0.7806666666666667,7
2oEUp9sGRGk.001,12.514,0.8342666666666666,6
2oiXF5_gTyk.001,14.222,0.9481333333333332,3
2oiXF5_gTyk.002,12.596,0.8397333333333333,10
2oiXF5_gTyk.003,13.896,0.9264,5
2pNKs0i3YkY.002,13.482,0.8987999999999999,4
2q7ZwMoPvok.000,12.994,0.8662666666666666,6
2q8orkMs2Jg.000,14.41,0.9606666666666668,4
2q8orkMs2Jg.003,12.008,0.8005333333333333,6
2q8orkMs2Jg.005,13.546,0.9030666666666666,4
2r5NVi3SZ2I.000,14.674,0.9782666666666666,2
2rV3Ibtdnvs.000,13.892,0.9261333333333333,6
2uAJJH7B5aw.000,14.966,0.9977333333333332,1
2uAJJH7B5aw.001,14.966,0.9977333333333332,1
2uAJJH7B5aw.003,14.934,0.9956,1
2x8GZaBY6TM.001,13.332,0.8888,3
2x8GZaBY6TM.002,11.71,0.7806666666666667,7
2x8GZaBY6TM.003,12.332,0.8221333333333334,4
2yUnXroXyeI.003,14.478,0.9652,3
300gK3CnzW0.000,12.346,0.8230666666666667,8
300gK3CnzW0.002,13.708,0.9138666666666668,4
300gK3CnzW0.004,12.998,0.8665333333333333,5
32XmVytuwQc.001,12.214,0.8142666666666667,9
35-2f1y0guA.000,14.406,0.9604,5
36NZ0sHWQFg.001,5.982,0.3988,7
36sZ__mv_KY.003,13.87,0.9246666666666666,3
38fE5B4ghw0.000,14.998,0.9998666666666666,1
38fE5B4ghw0.002,14.768,0.9845333333333334,3
38fE5B4ghw0.003,14.806,0.9870666666666666,1
38fE5B4ghw0.004,14.868,0.9912,2
38fE5B4ghw0.005,14.998,0.9998666666666666,1
39BJkEXJpgc.001,13.738,0.9158666666666666,4
39BJkEXJpgc.003,14.058,0.9372,4
39BJkEXJpgc.005,14.41,0.9606666666666668,4
39o1zJFeM7E.001,14.156,0.9437333333333334,4
39o1zJFeM7E.002,14.378,0.9585333333333332,4
39o1zJFeM7E.003,13.806,0.9204,3
39o1zJFeM7E.004,2.108,0.1405333333333333,1
3AyjQQYmqU4.000,14.018,0.9345333333333332,6
3AyjQQYmqU4.001,13.92,0.928,7
3AyjQQYmqU4.003,13.73,0.9153333333333332,6
3DURnr95fMg.000,13.574,0.9049333333333334,5
3DURnr95fMg.002,10.06,0.6706666666666667,5
3DURnr95fMg.004,13.646,0.9097333333333334,3
3GylAjrajHs.003,14.252,0.9501333333333334,4
3GylAjrajHs.004,12.798,0.8532,7
3HA2W1s4oP8.000,14.126,0.9417333333333332,3
3HA2W1s4oP8.001,14.052,0.9368,6
3HA2W1s4oP8.002,13.246,0.8830666666666667,7
3HA2W1s4oP8.003,14.542,0.9694666666666668,3
3J7Cl3FXs1o.001,12.19,0.8126666666666666,7
3J7Cl3FXs1o.004,14.482,0.9654666666666666,2
3JAFkk42zPs.004,11.372,0.7581333333333333,5
3JAFkk42zPs.005,12.224,0.8149333333333334,7
3JzvXA-Zfbs.000,13.906,0.9270666666666668,2
3JzvXA-Zfbs.001,13.708,0.9138666666666668,4
3JzvXA-Zfbs.002,13.642,0.9094666666666666,4
3JzvXA-Zfbs.003,14.804,0.9869333333333332,2
3K16KyiAZHw.004,13.926,0.9284,5
3LAaFUSGvsU.001,12.218,0.8145333333333333,8
3LAaFUSGvsU.003,14.544,0.9696,3
3LAaFUSGvsU.004,13.942,0.9294666666666668,1
3OoQBXWTGfE.000,13.738,0.9158666666666666,4
3OoQBXWTGfE.001,13.318,0.8878666666666667,5
3OoQBXWTGfE.002,14.414,0.9609333333333332,3
3OoQBXWTGfE.004,14.706,0.9804,2
3P_D_bd-_NM.000,13.292,0.8861333333333333,5
3P_D_bd-_NM.001,14.574,0.9716,3
3P_D_bd-_NM.003,13.35,0.89,5
3P_D_bd-_NM.005,14.118,0.9412,5
3Q3SB1dVAng.000,12.734,0.8489333333333333,7
3Q3SB1dVAng.001,13.568,0.9045333333333332,7
3Q3SB1dVAng.002,13.858,0.9238666666666668,6
3Q3SB1dVAng.003,14.062,0.9374666666666668,3
3Q3SB1dVAng.005,13.772,0.9181333333333334,5
3R2LrAKCWr8.001,14.574,0.9716,3
3R2LrAKCWr8.002,14.966,0.9977333333333332,1
3RhBqNzCMG8.001,14.734,0.9822666666666666,3
3S72dDIm1fM.000,14.186,0.9457333333333332,4
3S72dDIm1fM.001,13.892,0.9261333333333333,6
3S8QUGYVf_w.000,14.768,0.9845333333333334,3
3S8QUGYVf_w.001,14.062,0.9374666666666668,3
3S8QUGYVf_w.003,15.0,1.0,1
3S8QUGYVf_w.004,14.998,0.9998666666666666,1
3Sj-GZ3YXWs.000,13.78,0.9186666666666666,3
3Sj-GZ3YXWs.001,13.422,0.8948,3
3Sj-GZ3YXWs.002,13.838,0.9225333333333332,3
3Sj-GZ3YXWs.004,14.734,0.9822666666666666,3
3Sj-GZ3YXWs.005,12.838,0.8558666666666667,5
3VTL2kFt17M.000,13.798,0.9198666666666668,5
3VTL2kFt17M.002,8.484,0.5656,7
3VTL2kFt17M.004,12.242,0.8161333333333334,10
3VTL2kFt17M.005,13.35,0.89,5
3Vr5-zedeWk.000,12.77,0.8513333333333333,6
3Vr5-zedeWk.002,8.216,0.5477333333333333,2
3Vr5-zedeWk.003,14.036,0.9357333333333332,3
3Vr5-zedeWk.004,13.776,0.9184,3
3Vr5-zedeWk.005,14.444,0.9629333333333334,4
3VyriB3isO8.001,12.226,0.8150666666666667,6
3VyriB3isO8.004,8.574,0.5716,7
3WPXm_5f4Lw.002,11.87,0.7913333333333333,7
3WmWJ1lNy-U.000,13.296,0.8864,4
3WmWJ1lNy-U.001,12.744,0.8496,5
3WoXkI06zGk.001,11.144,0.7429333333333333,6
3WoXkI06zGk.002,12.168,0.8111999999999999,6
3WoXkI06zGk.003,10.434,0.6956,6
3ZwXifihvtA.000,13.674,0.9116,4
3b9fhd-EDaY.001,13.414,0.8942666666666667,5
3ccY8jYkI5o.000,14.354,0.9569333333333332,2
3ccY8jYkI5o.002,14.998,0.9998666666666666,1
3ccY8jYkI5o.004,14.766,0.9844,3
3ccY8jYkI5o.005,14.61,0.974,2
3df_Uk9EmwU.000,13.286,0.8857333333333333,5
3df_Uk9EmwU.001,13.35,0.89,5
3df_Uk9EmwU.004,14.45,0.9633333333333332,2
3df_Uk9EmwU.005,12.998,0.8665333333333333,5
3g6Ab-BIbR4.001,14.704,0.9802666666666668,3
3gKpBq-1yG4.000,13.382,0.8921333333333333,5
3gKpBq-1yG4.001,13.038,0.8692,5
3gKpBq-1yG4.002,13.2,0.88,3
3gKpBq-1yG4.003,12.61,0.8406666666666667,6
3gKpBq-1yG4.004,13.77,0.918,4
3gKpBq-1yG4.005,12.752,0.8501333333333334,4
3gmc2kLV4Bo.002,14.834,0.9889333333333332,2
3hKgh9AB3tk.001,12.834,0.8556,6
3hKgh9AB3tk.002,11.69,0.7793333333333333,4
3hKgh9AB3tk.005,11.048,0.7365333333333334,5
3lV-sr3NOUo.003,14.092,0.9394666666666668,4
3lV-sr3NOUo.004,13.934,0.9289333333333332,3
3nxH1f6IQjQ.000,14.356,0.9570666666666666,2
3orJLMVqWYw.000,13.382,0.8921333333333333,5
3orJLMVqWYw.004,13.734,0.9156,5
3pJZOCtAzYE.001,14.702,0.9801333333333332,3
3tPq9fNOXZQ.001,12.546,0.8363999999999999,6
3tPq9fNOXZQ.002,14.314,0.9542666666666668,4
3tPq9fNOXZQ.003,14.802,0.9868,2
3tPq9fNOXZQ.005,12.358,0.8238666666666667,5
3taD1fEPfC8.001,13.588,0.9058666666666666,3
3taD1fEPfC8.002,12.894,0.8596,7
3taD1fEPfC8.003,13.034,0.8689333333333333,4
3taD1fEPfC8.004,12.67,0.8446666666666667,7
3wRj39GKLJ0.001,12.586,0.8390666666666667,4
3wgZrRMosvY.002,14.382,0.9588,3
3wgZrRMosvY.003,10.122,0.6748,4
3y3au0hVfm8.001,13.766,0.9177333333333332,5
3ySH8eJQRCI.001,11.808,0.7872,7
3ySH8eJQRCI.002,10.97,0.7313333333333334,8
3ySH8eJQRCI.003,13.124,0.8749333333333333,6
3ySH8eJQRCI.004,13.932,0.9288,4
3ySH8eJQRCI.005,11.67,0.778,9
3yU-7AXnFCM.002,8.462,0.5641333333333333,5
3yU-7AXnFCM.003,13.896,0.9264,5
3zAyM2edy1g.000,12.33,0.822,4
3zAyM2edy1g.001,11.162,0.7441333333333334,8
3zAyM2edy1g.004,13.066,0.8710666666666668,4
40rn4A64Bdk.001,13.446,0.8964,5
40rn4A64Bdk.003,13.582,0.9054666666666668,3
41NNb7cucVo.000,13.422,0.8948,3
41NNb7cucVo.001,13.578,0.9052,4
41NNb7cucVo.002,12.522,0.8348,4
41NNb7cucVo.003,13.224,0.8816,5
43tayteIFRk.005,13.994,0.9329333333333332,4
44rxmXiga90.001,12.424,0.8282666666666666,6
44rxmXiga90.002,11.762,0.7841333333333333,10
44rxmXiga90.003,11.362,0.7574666666666666,6
44rxmXiga90.004,13.476,0.8984000000000001,6
44rxmXiga90.005,11.046,0.7363999999999999,5
45SH4ohAH3M.000,13.31,0.8873333333333334,7
45SH4ohAH3M.001,12.328,0.8218666666666666,6
45SH4ohAH3M.005,13.514,0.9009333333333333,4
48S9_KZvzVw.001,14.636,0.9757333333333332,4
48S9_KZvzVw.003,14.836,0.9890666666666666,2
48S9_KZvzVw.004,12.026,0.8017333333333333,2
48S9_KZvzVw.005,14.768,0.9845333333333334,3
495hLlCEW64.001,12.126,0.8084,7
495hLlCEW64.002,11.824,0.7882666666666667,4
495hLlCEW64.003,12.578,0.8385333333333332,6
4CSV8L7aVik.000,14.058,0.9372,4
4CiR99jTzso.000,12.108,0.8072,5
4F-WBGPXiqQ.001,12.802,0.8534666666666666,6
4ICb270oLpE.000,13.842,0.9228,2
4ICb270oLpE.002,14.738,0.9825333333333331,2
4JYmE9a21aI.002,14.608,0.9738666666666668,3
4JYmE9a21aI.004,14.898,0.9932,2
4JjpfL4y3XM.000,13.2,0.88,4
4JjpfL4y3XM.001,12.71,0.8473333333333334,5
4KD3XCMsIBs.004,14.39,0.9593333333333334,1
4LZJvOecyM8.001,12.77,0.8513333333333333,6
4LZJvOecyM8.002,12.618,0.8412000000000001,4
4LZJvOecyM8.005,10.502,0.7001333333333334,5
4NzqG0XwOWg.002,14.802,0.9868,2
4NzqG0XwOWg.004,14.42,0.9613333333333334,3
4QUgf0dHnKk.004,14.222,0.9481333333333332,3
4QUgf0dHnKk.005,14.086,0.9390666666666668,5
4Qr1BjZhnpg.003,14.122,0.9414666666666668,4
4RoZPrjRQZE.000,11.372,0.7581333333333333,5
