split,trait,Acc(1-MAE),MAE,RMSE,R2,alpha
val,openness,0.9003564,0.09964357,0.12533641,0.24369192,100.0
val,extraversion,0.8991878,0.10081219,0.12560998,0.29025286,300.0
val,neuroticism,0.8989715,0.10102851,0.12740546,0.27981752,300.0
val,agreeableness,0.9030717,0.09692831,0.12265927,0.13474697,300.0
val,conscientiousness,0.89786315,0.102136835,0.12967448,0.2667973,300.0
val,openness,0.9014711,0.09852892,0.12393394,0.26052284,300.0
val,extraversion,0.89976305,0.100236945,0.1249385,0.2978208,1000.0
val,neuroticism,0.90010583,0.09989417,0.12617958,0.29361004,1000.0
val,agreeableness,0.90422726,0.09577274,0.121250905,0.15450251,1000.0
val,conscientiousness,0.8988804,0.10111959,0.12830772,0.28217155,1000.0
val,openness,0.90224373,0.097756274,0.123057626,0.27094334,1000.0
val,extraversion,0.89982927,0.10017073,0.12510557,0.29594165,3000.0
val,neuroticism,0.9004545,0.09954545,0.12580457,0.29780245,3000.0
val,agreeableness,0.9049392,0.09506083,0.12047735,0.16525632,3000.0
val,conscientiousness,0.89912695,0.10087305,0.12781286,0.28769785,3000.0
val,openness,0.9024395,0.0975605,0.12305683,0.2709527,3000.0
val,extraversion,0.89905846,0.10094154,0.12625726,0.28291923,10000.0
val,neuroticism,0.8997631,0.100236915,0.12666716,0.28814018,10000.0
val,agreeableness,0.90500385,0.09499617,0.12051961,0.16467059,10000.0
val,conscientiousness,0.8983167,0.10168332,0.128535,0.27962625,10000.0
val,openness,0.9018436,0.09815641,0.12403532,0.2593125,10000.0
val,extraversion,0.8970036,0.10299642,0.12847702,0.25748318,30000.0
val,neuroticism,0.89775515,0.10224486,0.12893987,0.26236606,30000.0
val,agreeableness,0.9043536,0.09564641,0.12147782,0.15133488,30000.0
val,conscientiousness,0.8964478,0.10355224,0.13050011,0.25743097,30000.0
val,openness,0.9001446,0.09985544,0.1260824,0.23466218,30000.0
val,extraversion,0.8934883,0.106511734,0.13230442,0.21258444,100000.0
val,neuroticism,0.89406407,0.10593596,0.13286899,0.21672612,100000.0
val,agreeableness,0.9029334,0.097066574,0.123292,0.12579727,100000.0
val,conscientiousness,0.8930928,0.1069072,0.13387929,0.21847683,100000.0
val,openness,0.89690083,0.10309918,0.1295,0.19260931,100000.0
