clip_id,split_official,duration_sec,audio_path
-Osv5l1vrNU.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-Osv5l1vrNU.001.wav
-Osv5l1vrNU.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-Osv5l1vrNU.004.wav
-R2SZu3SYgM.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-R2SZu3SYgM.000.wav
-R2SZu3SYgM.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-R2SZu3SYgM.004.wav
-RhPxhfpg4U.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-RhPxhfpg4U.001.wav
-RhPxhfpg4U.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-RhPxhfpg4U.003.wav
-RhPxhfpg4U.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-RhPxhfpg4U.005.wav
-VTqcHNgH7M.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-VTqcHNgH7M.002.wav
-VTqcHNgH7M.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-VTqcHNgH7M.003.wav
-VTqcHNgH7M.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-VTqcHNgH7M.004.wav
-Wqk9eex6bQ.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-Wqk9eex6bQ.002.wav
-Wqk9eex6bQ.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-Wqk9eex6bQ.003.wav
-Wqk9eex6bQ.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-Wqk9eex6bQ.004.wav
-Wqk9eex6bQ.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-Wqk9eex6bQ.005.wav
-aU2FN5pkWA.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-aU2FN5pkWA.001.wav
-aU2FN5pkWA.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-aU2FN5pkWA.004.wav
-agCXYgb7pI.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-agCXYgb7pI.004.wav
-awAu11kBZ0.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-awAu11kBZ0.000.wav
-c2HtptBFxY.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-c2HtptBFxY.002.wav
-c_tyGzShwk.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-c_tyGzShwk.004.wav
-fXqnCljdm0.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-fXqnCljdm0.000.wav
-fXqnCljdm0.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-fXqnCljdm0.003.wav
-fqiCqZtgYs.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-fqiCqZtgYs.001.wav
-fqiCqZtgYs.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-fqiCqZtgYs.002.wav
-fqiCqZtgYs.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-fqiCqZtgYs.003.wav
-mt-IKgGhuY.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-mt-IKgGhuY.004.wav
-utrsarZeIY.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-utrsarZeIY.001.wav
-utrsarZeIY.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-utrsarZeIY.004.wav
-zNyDPzId4E.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-zNyDPzId4E.001.wav
-zNyDPzId4E.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\-zNyDPzId4E.003.wav
01qN-BqJXRM.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\01qN-BqJXRM.005.wav
04oq2yrBwMg.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\04oq2yrBwMg.001.wav
04oq2yrBwMg.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\04oq2yrBwMg.004.wav
05l5bteT_qA.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\05l5bteT_qA.000.wav
05l5bteT_qA.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\05l5bteT_qA.001.wav
0C6i34q2-f8.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0C6i34q2-f8.000.wav
0C6i34q2-f8.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0C6i34q2-f8.001.wav
0C6i34q2-f8.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0C6i34q2-f8.003.wav
0D7W2pR4RpQ.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0D7W2pR4RpQ.004.wav
0FVu7VKIg2s.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0FVu7VKIg2s.000.wav
0G9vplL8ae8.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0G9vplL8ae8.001.wav
0G9vplL8ae8.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0G9vplL8ae8.003.wav
0LqfKzp11kg.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0LqfKzp11kg.000.wav
0MB91ku0eEw.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0MB91ku0eEw.003.wav
0ObEtA6Q8vU.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0ObEtA6Q8vU.002.wav
0ObEtA6Q8vU.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0ObEtA6Q8vU.003.wav
0ObEtA6Q8vU.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0ObEtA6Q8vU.005.wav
0QTR0WiJSNk.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0QTR0WiJSNk.001.wav
0RLFM1ehSFM.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0RLFM1ehSFM.000.wav
0VnZngec8sc.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0VnZngec8sc.001.wav
0VnZngec8sc.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0VnZngec8sc.003.wav
0VnZngec8sc.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0VnZngec8sc.004.wav
0Wr69VD_oXI.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0Wr69VD_oXI.004.wav
0ZK5jQAvhFo.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0ZK5jQAvhFo.004.wav
0_xOGmydDN0.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0_xOGmydDN0.001.wav
0_xOGmydDN0.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0_xOGmydDN0.002.wav
0_xOGmydDN0.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0_xOGmydDN0.003.wav
0_xOGmydDN0.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0_xOGmydDN0.004.wav
0axZSeaUbfs.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0axZSeaUbfs.002.wav
0axZSeaUbfs.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0axZSeaUbfs.004.wav
0axZSeaUbfs.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0axZSeaUbfs.005.wav
0dIqLMMn4jY.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0dIqLMMn4jY.000.wav
0fMw9o1v2tY.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0fMw9o1v2tY.001.wav
0fMw9o1v2tY.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0fMw9o1v2tY.002.wav
0fMw9o1v2tY.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0fMw9o1v2tY.003.wav
0gv5Z0qt2jc.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0gv5Z0qt2jc.000.wav
0gv5Z0qt2jc.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0gv5Z0qt2jc.001.wav
0gv5Z0qt2jc.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0gv5Z0qt2jc.002.wav
0gv5Z0qt2jc.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0gv5Z0qt2jc.003.wav
0gv5Z0qt2jc.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0gv5Z0qt2jc.004.wav
0gv5Z0qt2jc.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0gv5Z0qt2jc.005.wav
0hWbtuRVUgM.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0hWbtuRVUgM.001.wav
0hWbtuRVUgM.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0hWbtuRVUgM.005.wav
0iQIfGnKflc.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0iQIfGnKflc.001.wav
0iQIfGnKflc.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0iQIfGnKflc.002.wav
0iXXdsO95O0.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0iXXdsO95O0.000.wav
0kg6pmbSN6A.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0kg6pmbSN6A.000.wav
0kg6pmbSN6A.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0kg6pmbSN6A.001.wav
0kg6pmbSN6A.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0kg6pmbSN6A.002.wav
0kg6pmbSN6A.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0kg6pmbSN6A.005.wav
0mym1CooiTE.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0mym1CooiTE.000.wav
0mym1CooiTE.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0mym1CooiTE.001.wav
0mym1CooiTE.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0mym1CooiTE.003.wav
0mym1CooiTE.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0mym1CooiTE.004.wav
0n2vWTs6XwA.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0n2vWTs6XwA.001.wav
0tse0Fsy_rg.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0tse0Fsy_rg.001.wav
0tse0Fsy_rg.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0tse0Fsy_rg.002.wav
0tse0Fsy_rg.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0tse0Fsy_rg.004.wav
0u56Q_QmxIM.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0u56Q_QmxIM.002.wav
0u56Q_QmxIM.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0u56Q_QmxIM.004.wav
0uCqd5hZcyI.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0uCqd5hZcyI.000.wav
0uCqd5hZcyI.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0uCqd5hZcyI.005.wav
0zJcYnsh55g.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\0zJcYnsh55g.003.wav
1-GgVRmAEoo.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1-GgVRmAEoo.002.wav
1-GgVRmAEoo.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1-GgVRmAEoo.003.wav
1-GgVRmAEoo.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1-GgVRmAEoo.004.wav
117jrwvl2Nc.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\117jrwvl2Nc.000.wav
117jrwvl2Nc.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\117jrwvl2Nc.004.wav
12Ezy1y1cWY.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\12Ezy1y1cWY.001.wav
12Ezy1y1cWY.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\12Ezy1y1cWY.005.wav
12Hbl_oZF9c.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\12Hbl_oZF9c.001.wav
12Hbl_oZF9c.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\12Hbl_oZF9c.003.wav
12lqQE6oPNE.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\12lqQE6oPNE.001.wav
13KtmgntgQw.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\13KtmgntgQw.002.wav
13XlKeC_p3U.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\13XlKeC_p3U.000.wav
13XlKeC_p3U.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\13XlKeC_p3U.001.wav
13kjwEtSyXc.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\13kjwEtSyXc.000.wav
13kjwEtSyXc.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\13kjwEtSyXc.002.wav
13kjwEtSyXc.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\13kjwEtSyXc.004.wav
15yOT2ZolPE.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\15yOT2ZolPE.002.wav
176vWywoq9E.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\176vWywoq9E.000.wav
176vWywoq9E.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\176vWywoq9E.001.wav
176vWywoq9E.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\176vWywoq9E.002.wav
176vWywoq9E.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\176vWywoq9E.004.wav
184MlJCcboQ.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\184MlJCcboQ.000.wav
186c7kCyCHQ.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\186c7kCyCHQ.005.wav
19cplBTXyoY.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\19cplBTXyoY.002.wav
19pTUX8KfYM.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\19pTUX8KfYM.000.wav
1AMp8Y_0UGc.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1AMp8Y_0UGc.000.wav
1AMp8Y_0UGc.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1AMp8Y_0UGc.002.wav
1AMp8Y_0UGc.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1AMp8Y_0UGc.004.wav
1CYzbX8AaP8.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1CYzbX8AaP8.001.wav
1CYzbX8AaP8.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1CYzbX8AaP8.003.wav
1DCnIad1Y0w.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1DCnIad1Y0w.002.wav
1Gn4GX8miWQ.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1Gn4GX8miWQ.000.wav
1Gn4GX8miWQ.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1Gn4GX8miWQ.001.wav
1Gn4GX8miWQ.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1Gn4GX8miWQ.002.wav
1Gn4GX8miWQ.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1Gn4GX8miWQ.003.wav
1Gn4GX8miWQ.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1Gn4GX8miWQ.004.wav
1Gn4GX8miWQ.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1Gn4GX8miWQ.005.wav
1Kb5d-w3YJ8.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1Kb5d-w3YJ8.002.wav
1Lv72Si4GnY.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1Lv72Si4GnY.001.wav
1OGu_7IljCo.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1OGu_7IljCo.004.wav
1RMdiCbNNh4.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1RMdiCbNNh4.003.wav
1RMdiCbNNh4.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1RMdiCbNNh4.005.wav
1S0SxmfbOus.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1S0SxmfbOus.002.wav
1UaqZEUUk9I.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1UaqZEUUk9I.000.wav
1UaqZEUUk9I.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1UaqZEUUk9I.002.wav
1W7XLdNpEgc.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1W7XLdNpEgc.001.wav
1W7XLdNpEgc.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1W7XLdNpEgc.005.wav
1Wh2mIFrGvk.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1Wh2mIFrGvk.001.wav
1XqMZQu_pP4.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1XqMZQu_pP4.002.wav
1YsZ4GPpyBA.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1YsZ4GPpyBA.004.wav
1YsZ4GPpyBA.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1YsZ4GPpyBA.005.wav
1ZqHFoxLz54.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1ZqHFoxLz54.000.wav
1cqwKxx6GF8.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1cqwKxx6GF8.001.wav
1cqwKxx6GF8.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1cqwKxx6GF8.004.wav
1cqwKxx6GF8.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1cqwKxx6GF8.005.wav
1dOaM7zWPo8.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1dOaM7zWPo8.000.wav
1eOvtoZCie8.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1eOvtoZCie8.000.wav
1eOvtoZCie8.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1eOvtoZCie8.002.wav
1eOvtoZCie8.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1eOvtoZCie8.004.wav
1eOvtoZCie8.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1eOvtoZCie8.005.wav
1fsFL_qNYlQ.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1fsFL_qNYlQ.001.wav
1fsFL_qNYlQ.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1fsFL_qNYlQ.005.wav
1hpZ2ecWqtI.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1hpZ2ecWqtI.002.wav
1hpZ2ecWqtI.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1hpZ2ecWqtI.003.wav
1hpZ2ecWqtI.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1hpZ2ecWqtI.005.wav
1izSTcQI7H4.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1izSTcQI7H4.000.wav
1izSTcQI7H4.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1izSTcQI7H4.004.wav
1jC4vsQsjwM.002,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1jC4vsQsjwM.002.wav
1jC4vsQsjwM.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1jC4vsQsjwM.004.wav
1jC4vsQsjwM.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1jC4vsQsjwM.005.wav
1m67onLoRwY.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1m67onLoRwY.000.wav
1m67onLoRwY.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1m67onLoRwY.003.wav
1mHjMNZZvFo.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1mHjMNZZvFo.000.wav
1mHjMNZZvFo.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1mHjMNZZvFo.003.wav
1mHjMNZZvFo.004,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1mHjMNZZvFo.004.wav
1mHjMNZZvFo.005,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1mHjMNZZvFo.005.wav
1mODTfLRGdI.000,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1mODTfLRGdI.000.wav
1mODTfLRGdI.001,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1mODTfLRGdI.001.wav
1mODTfLRGdI.003,train,15.0,E:\tugas-akhir-qiqi\output\preprocessing\preprocessed_full\1mODTfLRGdI.003.wav
