model,split,clip_id,embedding_norm
hubert,train,0u56Q_QmxIM.002,4.751777
hubert,train,0u56Q_QmxIM.004,4.283851
hubert,train,0uCqd5hZcyI.000,4.277922
hubert,train,0uCqd5hZcyI.005,4.083516
hubert,train,0zJcYnsh55g.003,3.8186963
hubert,train,1-GgVRmAEoo.002,4.186814
hubert,train,1-GgVRmAEoo.003,4.4702816
hubert,train,1-GgVRmAEoo.004,4.3670654
hubert,train,117jrwvl2Nc.000,4.125375
hubert,train,117jrwvl2Nc.004,4.4819264
hubert,train,12Ezy1y1cWY.001,5.0243397
hubert,train,12Ezy1y1cWY.005,4.4045286
hubert,train,12Hbl_oZF9c.001,4.215039
hubert,train,12Hbl_oZF9c.003,4.140976
hubert,train,12lqQE6oPNE.001,4.0372214
hubert,train,13KtmgntgQw.002,4.4464803
hubert,train,13XlKeC_p3U.000,4.184473
hubert,train,13XlKeC_p3U.001,4.274761
hubert,train,13kjwEtSyXc.000,4.207593
hubert,train,13kjwEtSyXc.002,4.31344
hubert,train,13kjwEtSyXc.004,4.247221
hubert,train,15yOT2ZolPE.002,4.2183704
hubert,train,176vWywoq9E.000,4.034506
hubert,train,176vWywoq9E.001,4.3592515
hubert,train,176vWywoq9E.002,4.099164
hubert,train,176vWywoq9E.004,4.159245
hubert,train,184MlJCcboQ.000,3.995213
hubert,train,186c7kCyCHQ.005,3.8551743
hubert,train,19cplBTXyoY.002,3.8152874
hubert,train,19pTUX8KfYM.000,4.117024
hubert,train,1AMp8Y_0UGc.000,4.231439
hubert,train,1AMp8Y_0UGc.002,3.9804683
hubert,train,1AMp8Y_0UGc.004,3.8879988
hubert,train,1CYzbX8AaP8.001,3.8854353
hubert,train,1CYzbX8AaP8.003,4.2053943
hubert,train,1DCnIad1Y0w.002,3.8583903
hubert,train,1Gn4GX8miWQ.000,4.430979
hubert,train,1Gn4GX8miWQ.001,4.3282733
hubert,train,1Gn4GX8miWQ.002,4.316493
hubert,train,1Gn4GX8miWQ.003,4.2911925
hubert,train,1Gn4GX8miWQ.004,4.4583187
hubert,train,1Gn4GX8miWQ.005,4.463415
hubert,train,1Kb5d-w3YJ8.002,4.184262
hubert,train,1Lv72Si4GnY.001,4.376054
hubert,train,1OGu_7IljCo.004,4.200815
hubert,train,1RMdiCbNNh4.003,4.0634394
hubert,train,1RMdiCbNNh4.005,4.220468
hubert,train,1S0SxmfbOus.002,3.910018
hubert,train,1UaqZEUUk9I.000,4.040295
hubert,train,1UaqZEUUk9I.002,4.0867057
hubert,train,1W7XLdNpEgc.001,3.9887915
hubert,train,1W7XLdNpEgc.005,3.8360934
hubert,train,1Wh2mIFrGvk.001,3.8484147
hubert,train,1XqMZQu_pP4.002,4.054055
hubert,train,1YsZ4GPpyBA.004,4.219267
hubert,train,1YsZ4GPpyBA.005,4.221116
hubert,train,1ZqHFoxLz54.000,3.9903102
hubert,train,1cqwKxx6GF8.001,4.2117743
hubert,train,1cqwKxx6GF8.004,4.429069
hubert,train,1cqwKxx6GF8.005,4.396174
hubert,train,1dOaM7zWPo8.000,4.16769
hubert,train,1eOvtoZCie8.000,4.2555456
hubert,train,1eOvtoZCie8.002,4.1881537
hubert,train,1eOvtoZCie8.004,4.371987
hubert,train,1eOvtoZCie8.005,4.087503
hubert,train,1fsFL_qNYlQ.001,4.033071
hubert,train,1fsFL_qNYlQ.005,3.937136
hubert,train,1hpZ2ecWqtI.002,4.0663586
hubert,train,1hpZ2ecWqtI.003,4.1440454
hubert,train,1hpZ2ecWqtI.005,4.0528383
hubert,train,1izSTcQI7H4.000,4.267136
hubert,train,1izSTcQI7H4.004,4.2505827
hubert,train,1jC4vsQsjwM.002,4.324518
hubert,train,1jC4vsQsjwM.004,4.3020205
hubert,train,1jC4vsQsjwM.005,4.164049
hubert,train,1m67onLoRwY.000,4.451813
hubert,train,1m67onLoRwY.003,4.4811645
hubert,train,1mHjMNZZvFo.000,4.1540375
hubert,train,1mHjMNZZvFo.003,4.240287
hubert,train,1mHjMNZZvFo.004,4.138684
hubert,train,1mHjMNZZvFo.005,4.207119
hubert,train,1mODTfLRGdI.000,4.266714
hubert,train,1mODTfLRGdI.001,4.2340565
hubert,train,1mODTfLRGdI.003,4.084424
hubert,train,1mReUxIEuw0.000,4.1323495
hubert,train,1mReUxIEuw0.005,4.148761
hubert,train,1mdMhaq5p4w.001,3.794374
hubert,train,1mdMhaq5p4w.002,3.832324
hubert,train,1mdMhaq5p4w.004,4.0876393
hubert,train,1mdMhaq5p4w.005,3.937699
hubert,train,1mfrM-FT-5E.000,4.1286674
hubert,train,1pm5uoU85FI.000,4.1154966
hubert,train,1pm5uoU85FI.001,4.1235366
hubert,train,1pm5uoU85FI.003,4.219771
hubert,train,1q-N_zbsAg0.000,4.2567334
hubert,train,1q-N_zbsAg0.001,4.727218
hubert,train,1q-N_zbsAg0.003,4.3049507
hubert,train,1q-N_zbsAg0.004,4.145574
hubert,train,1sjXuXtx9-E.000,4.2792783
hubert,train,1tPH6PNeOSk.002,3.9567537
hubert,train,1tPH6PNeOSk.004,4.027686
hubert,train,1uCO2d0pFg0.000,4.1621785
hubert,train,1wWMWbl6ILg.004,4.091755
hubert,train,1yIGI42lzak.001,4.067819
hubert,train,1yIGI42lzak.002,4.226676
hubert,train,1yIGI42lzak.003,4.2792664
hubert,train,1yIGI42lzak.005,4.1872234
hubert,train,1yjRBwUiYxs.005,4.182
hubert,train,2-LDYe7OXZU.000,4.377792
hubert,train,2-LDYe7OXZU.001,4.12955
hubert,train,2-LDYe7OXZU.003,4.3273478
hubert,train,2-LDYe7OXZU.005,4.339452
hubert,train,26ZnknvfdNM.001,4.00062
hubert,train,26ZnknvfdNM.002,4.2191153
hubert,train,26ZnknvfdNM.003,4.1059513
hubert,train,26ZnknvfdNM.004,4.1091914
hubert,train,29UCGJldICw.005,3.958499
hubert,train,2AV8m02PjdU.000,3.9955
hubert,train,2AV8m02PjdU.002,4.155409
hubert,train,2AV8m02PjdU.003,4.1236258
hubert,train,2AYq7CdNXNo.000,4.1520333
hubert,train,2AYq7CdNXNo.001,4.240085
hubert,train,2AYq7CdNXNo.003,4.2644987
hubert,train,2AYq7CdNXNo.004,4.285347
hubert,train,2DZb5yIc6Fg.001,4.2948823
hubert,train,2DZb5yIc6Fg.002,4.250506
hubert,train,2DZb5yIc6Fg.003,4.3964944
hubert,train,2Fgn78rYjPM.005,4.3761296
hubert,train,2GHz8LYflE0.000,3.948987
hubert,train,2HE6cw3HFPk.001,4.086036
hubert,train,2HE6cw3HFPk.003,3.95368
hubert,train,2IwWILRuuNU.003,4.1583247
hubert,train,2IwWILRuuNU.004,4.308727
hubert,train,2IwWILRuuNU.005,4.3507214
hubert,train,2KSBoJZMcMU.003,4.3612194
hubert,train,2KSBoJZMcMU.004,3.9890761
hubert,train,2KSBoJZMcMU.005,4.3953705
hubert,train,2Lgd2Ye-1L8.000,3.9937446
hubert,train,2NNYN1ZCJhw.003,4.247365
hubert,train,2OAA4slRc5M.004,4.3316345
hubert,train,2P1FbMJLUAs.000,4.023443
hubert,train,2P1FbMJLUAs.003,4.0798225
hubert,train,2P1FbMJLUAs.005,4.313931
hubert,train,2PSGksTyrnI.001,4.186844
hubert,train,2PSGksTyrnI.003,4.419385
hubert,train,2PSGksTyrnI.004,4.7501774
hubert,train,2PSGksTyrnI.005,4.046323
hubert,train,2RQGNwx_nlI.000,4.0252256
hubert,train,2SzC9dm4Yy4.002,4.2228527
hubert,train,2T3oK1Gse2g.000,3.947895
hubert,train,2T3oK1Gse2g.002,3.8841562
hubert,train,2TMl5EMrdVI.002,3.9780538
hubert,train,2TMl5EMrdVI.003,4.057824
hubert,train,2TMl5EMrdVI.004,3.8482308
hubert,train,2TMl5EMrdVI.005,3.9626048
hubert,train,2TXrDZgbDHE.001,5.002556
hubert,train,2TXrDZgbDHE.005,9.107184
hubert,train,2TbU3Eg2i4A.003,4.2130423
hubert,train,2TbU3Eg2i4A.004,4.534819
hubert,train,2TbU3Eg2i4A.005,4.920646
hubert,train,2UqnC_rFcRQ.001,4.2400885
hubert,train,2UqnC_rFcRQ.002,4.2535076
hubert,train,2UqnC_rFcRQ.003,4.1196866
hubert,train,2WuhWF4fAOQ.001,4.2386336
hubert,train,2WuhWF4fAOQ.002,3.922854
hubert,train,2WuhWF4fAOQ.003,4.039664
hubert,train,2WuhWF4fAOQ.004,3.8020277
hubert,train,2_OOIcYfLV0.003,3.8570607
hubert,train,2bAsXLQjlt8.001,4.5396338
hubert,train,2bAsXLQjlt8.002,4.45076
hubert,train,2bAsXLQjlt8.004,4.3848157
hubert,train,2bAsXLQjlt8.005,4.1797347
hubert,train,2ceHmUmguzk.000,4.0727086
hubert,train,2ceHmUmguzk.001,4.052051
hubert,train,2ceHmUmguzk.002,4.2486534
hubert,train,2ceHmUmguzk.005,4.22527
hubert,train,2d6btbaNdfo.004,4.137194
hubert,train,2f7rLXwzP3s.000,4.1061816
hubert,train,2f7rLXwzP3s.002,4.087595
hubert,train,2fzLibPAtvI.004,3.9631858
hubert,train,2fzLibPAtvI.005,4.2395096
hubert,train,2hhqEWiv4eI.000,4.3717766
hubert,train,2hhqEWiv4eI.001,4.318353
hubert,train,2hhqEWiv4eI.002,4.163586
hubert,train,2hhqEWiv4eI.004,4.1508245
hubert,train,2kqPuht5jTg.002,4.2913866
hubert,train,2kqPuht5jTg.004,4.378987
hubert,train,2kqPuht5jTg.005,4.351237
hubert,train,2mfmw63l88g.001,4.2560234
hubert,train,2mfmw63l88g.003,4.106629
hubert,train,2mfmw63l88g.004,4.0182123
hubert,train,2mfmw63l88g.005,4.232667
hubert,train,2mgj9ncREyA.000,3.9690514
hubert,train,2mgj9ncREyA.005,3.9668834
hubert,train,2oEUp9sGRGk.000,4.5671635
hubert,train,2oEUp9sGRGk.001,4.2451525
hubert,train,2oiXF5_gTyk.001,4.014494
hubert,train,2oiXF5_gTyk.002,4.43801
hubert,train,2oiXF5_gTyk.003,4.0963273
hubert,train,2pNKs0i3YkY.002,3.9632869
hubert,train,2q7ZwMoPvok.000,3.7387383
hubert,train,2q8orkMs2Jg.000,3.858399
hubert,train,2q8orkMs2Jg.003,4.3055415
hubert,train,2q8orkMs2Jg.005,4.0911818
hubert,train,2r5NVi3SZ2I.000,4.1208115
hubert,train,2rV3Ibtdnvs.000,4.3085957
hubert,train,2uAJJH7B5aw.000,4.116436
hubert,train,2uAJJH7B5aw.001,4.104137
hubert,train,2uAJJH7B5aw.003,4.2796693
hubert,train,2x8GZaBY6TM.001,4.189252
hubert,train,2x8GZaBY6TM.002,4.076305
hubert,train,2x8GZaBY6TM.003,4.27169
hubert,train,2yUnXroXyeI.003,4.147422
hubert,train,300gK3CnzW0.000,4.295934
hubert,train,300gK3CnzW0.002,4.0917726
hubert,train,300gK3CnzW0.004,4.301089
hubert,train,32XmVytuwQc.001,4.2928734
hubert,train,35-2f1y0guA.000,4.304218
hubert,train,36NZ0sHWQFg.001,4.9873543
hubert,train,36sZ__mv_KY.003,3.951255
hubert,train,38fE5B4ghw0.000,4.054046
hubert,train,38fE5B4ghw0.002,4.026133
hubert,train,38fE5B4ghw0.003,4.1617613
hubert,train,38fE5B4ghw0.004,4.0530615
hubert,train,38fE5B4ghw0.005,3.9712725
hubert,train,39BJkEXJpgc.001,4.431754
hubert,train,39BJkEXJpgc.003,4.289997
hubert,train,39BJkEXJpgc.005,4.1972084
hubert,train,39o1zJFeM7E.001,4.191877
hubert,train,39o1zJFeM7E.002,4.3467894
hubert,train,39o1zJFeM7E.003,4.1498113
hubert,train,39o1zJFeM7E.004,10.47696
hubert,train,3AyjQQYmqU4.000,4.3546515
hubert,train,3AyjQQYmqU4.001,4.473977
hubert,train,3AyjQQYmqU4.003,4.204748
hubert,train,3DURnr95fMg.000,4.195379
hubert,train,3DURnr95fMg.002,4.4119263
hubert,train,3DURnr95fMg.004,4.1758313
hubert,train,3GylAjrajHs.003,4.0809937
hubert,train,3GylAjrajHs.004,3.9930997
hubert,train,3HA2W1s4oP8.000,4.3920665
hubert,train,3HA2W1s4oP8.001,4.364178
hubert,train,3HA2W1s4oP8.002,4.37173
hubert,train,3HA2W1s4oP8.003,4.4338207
hubert,train,3J7Cl3FXs1o.001,4.0945396
hubert,train,3J7Cl3FXs1o.004,4.050305
hubert,train,3JAFkk42zPs.004,4.2736864
hubert,train,3JAFkk42zPs.005,4.351487
hubert,train,3JzvXA-Zfbs.000,4.2479253
hubert,train,3JzvXA-Zfbs.001,4.38595
hubert,train,3JzvXA-Zfbs.002,4.398096
hubert,train,3JzvXA-Zfbs.003,4.4173226
hubert,train,3K16KyiAZHw.004,4.187321
hubert,train,3LAaFUSGvsU.001,4.521398
hubert,train,3LAaFUSGvsU.003,4.571113
hubert,train,3LAaFUSGvsU.004,4.407303
hubert,train,3OoQBXWTGfE.000,4.113132
hubert,train,3OoQBXWTGfE.001,4.2161536
hubert,train,3OoQBXWTGfE.002,4.3271246
hubert,train,3OoQBXWTGfE.004,4.186482
hubert,train,3P_D_bd-_NM.000,3.9229999
hubert,train,3P_D_bd-_NM.001,3.8497667
hubert,train,3P_D_bd-_NM.003,4.0017376
hubert,train,3P_D_bd-_NM.005,3.9995704
hubert,train,3Q3SB1dVAng.000,4.1891217
hubert,train,3Q3SB1dVAng.001,4.227491
hubert,train,3Q3SB1dVAng.002,4.271996
hubert,train,3Q3SB1dVAng.003,4.236208
hubert,train,3Q3SB1dVAng.005,4.2384906
hubert,train,3R2LrAKCWr8.001,4.3660307
hubert,train,3R2LrAKCWr8.002,4.201593
hubert,train,3RhBqNzCMG8.001,4.4220624
hubert,train,3S72dDIm1fM.000,4.256747
hubert,train,3S72dDIm1fM.001,4.354788
hubert,train,3S8QUGYVf_w.000,4.3568797
hubert,train,3S8QUGYVf_w.001,4.3643427
hubert,train,3S8QUGYVf_w.003,4.3718863
hubert,train,3S8QUGYVf_w.004,4.3323174
hubert,train,3Sj-GZ3YXWs.000,4.063927
hubert,train,3Sj-GZ3YXWs.001,4.050556
hubert,train,3Sj-GZ3YXWs.002,4.151883
hubert,train,3Sj-GZ3YXWs.004,4.135361
hubert,train,3Sj-GZ3YXWs.005,4.319653
hubert,train,3VTL2kFt17M.000,3.9765472
hubert,train,3VTL2kFt17M.002,4.3405967
hubert,train,3VTL2kFt17M.004,4.2796073
hubert,train,3VTL2kFt17M.005,3.7983313
hubert,train,3Vr5-zedeWk.000,4.4223104
hubert,train,3Vr5-zedeWk.002,4.9725857
hubert,train,3Vr5-zedeWk.003,4.254505
hubert,train,3Vr5-zedeWk.004,4.389557
hubert,train,3Vr5-zedeWk.005,4.4227085
hubert,train,3VyriB3isO8.001,3.986593
hubert,train,3VyriB3isO8.004,4.3043313
hubert,train,3WPXm_5f4Lw.002,4.5510798
hubert,train,3WmWJ1lNy-U.000,4.406295
hubert,train,3WmWJ1lNy-U.001,4.0562916
hubert,train,3WoXkI06zGk.001,4.39009
hubert,train,3WoXkI06zGk.002,4.1647506
hubert,train,3WoXkI06zGk.003,4.3127503
hubert,train,3ZwXifihvtA.000,3.920954
hubert,train,3b9fhd-EDaY.001,4.4102883
hubert,train,3ccY8jYkI5o.000,4.052429
hubert,train,3ccY8jYkI5o.002,4.074355
hubert,train,3ccY8jYkI5o.004,4.0752864
hubert,train,3ccY8jYkI5o.005,3.9234576
hubert,train,3df_Uk9EmwU.000,4.7465386
hubert,train,3df_Uk9EmwU.001,4.599859
hubert,train,3df_Uk9EmwU.004,4.4300194
hubert,train,3df_Uk9EmwU.005,4.553088
hubert,train,3g6Ab-BIbR4.001,4.241829
hubert,train,3gKpBq-1yG4.000,3.81469
hubert,train,3gKpBq-1yG4.001,4.007073
hubert,train,3gKpBq-1yG4.002,4.1442957
hubert,train,3gKpBq-1yG4.003,4.022189
hubert,train,3gKpBq-1yG4.004,4.0065713
hubert,train,3gKpBq-1yG4.005,4.0367217
hubert,train,3gmc2kLV4Bo.002,4.1054
hubert,train,3hKgh9AB3tk.001,4.286918
hubert,train,3hKgh9AB3tk.002,4.3609314
hubert,train,3hKgh9AB3tk.005,4.4798665
hubert,train,3lV-sr3NOUo.003,4.176848
hubert,train,3lV-sr3NOUo.004,4.2348456
hubert,train,3nxH1f6IQjQ.000,4.4103537
hubert,train,3orJLMVqWYw.000,3.9710994
hubert,train,3orJLMVqWYw.004,3.9909036
hubert,train,3pJZOCtAzYE.001,3.9757876
hubert,train,3tPq9fNOXZQ.001,4.010888
hubert,train,3tPq9fNOXZQ.002,3.9633348
hubert,train,3tPq9fNOXZQ.003,4.111087
hubert,train,3tPq9fNOXZQ.005,3.95999
hubert,train,3taD1fEPfC8.001,4.026795
hubert,train,3taD1fEPfC8.002,4.0482593
hubert,train,3taD1fEPfC8.003,4.0202217
hubert,train,3taD1fEPfC8.004,3.9455397
hubert,train,3wRj39GKLJ0.001,4.1128726
hubert,train,3wgZrRMosvY.002,3.9830232
hubert,train,3wgZrRMosvY.003,4.2544365
hubert,train,3y3au0hVfm8.001,4.2955794
hubert,train,3ySH8eJQRCI.001,4.4803767
hubert,train,3ySH8eJQRCI.002,4.5870657
hubert,train,3ySH8eJQRCI.003,4.395844
hubert,train,3ySH8eJQRCI.004,4.3319287
hubert,train,3ySH8eJQRCI.005,4.350256
hubert,train,3yU-7AXnFCM.002,4.8566275
hubert,train,3yU-7AXnFCM.003,4.1680684
hubert,train,3zAyM2edy1g.000,4.3332667
hubert,train,3zAyM2edy1g.001,4.810541
hubert,train,3zAyM2edy1g.004,4.0647955
hubert,train,40rn4A64Bdk.001,4.3570967
hubert,train,40rn4A64Bdk.003,4.295451
hubert,train,41NNb7cucVo.000,3.807144
hubert,train,41NNb7cucVo.001,4.05363
hubert,train,41NNb7cucVo.002,3.9986057
hubert,train,41NNb7cucVo.003,3.9794369
hubert,train,43tayteIFRk.005,4.45486
hubert,train,44rxmXiga90.001,4.136874
hubert,train,44rxmXiga90.002,4.0790105
hubert,train,44rxmXiga90.003,4.043833
hubert,train,44rxmXiga90.004,4.3678236
hubert,train,44rxmXiga90.005,4.2187433
hubert,train,45SH4ohAH3M.000,4.1834917
hubert,train,45SH4ohAH3M.001,4.2564697
hubert,train,45SH4ohAH3M.005,4.2835875
hubert,train,48S9_KZvzVw.001,4.368676
hubert,train,48S9_KZvzVw.003,4.5028477
hubert,train,48S9_KZvzVw.004,4.5610604
hubert,train,48S9_KZvzVw.005,4.399007
hubert,train,495hLlCEW64.001,4.1691866
hubert,train,495hLlCEW64.002,3.9317725
hubert,train,495hLlCEW64.003,4.04957
hubert,train,4CSV8L7aVik.000,4.130308
hubert,train,4CiR99jTzso.000,4.1639853
hubert,train,4F-WBGPXiqQ.001,4.394195
hubert,train,4ICb270oLpE.000,4.1397724
hubert,train,4ICb270oLpE.002,4.0532513
hubert,train,4JYmE9a21aI.002,4.250333
hubert,train,4JYmE9a21aI.004,4.362182
hubert,train,4JjpfL4y3XM.000,4.0084715
hubert,train,4JjpfL4y3XM.001,4.0278745
hubert,train,4KD3XCMsIBs.004,4.0627604
hubert,train,4LZJvOecyM8.001,3.972753
hubert,train,4LZJvOecyM8.002,4.191254
hubert,train,4LZJvOecyM8.005,4.851942
hubert,train,4NzqG0XwOWg.002,3.979686
hubert,train,4NzqG0XwOWg.004,3.978786
hubert,train,4QUgf0dHnKk.004,4.135858
hubert,train,4QUgf0dHnKk.005,4.365704
hubert,train,4Qr1BjZhnpg.003,4.2082624
hubert,train,4RoZPrjRQZE.000,4.176242
hubert,train,4T9UUWWRE94.000,3.9378548
hubert,train,4T9UUWWRE94.003,4.3790946
hubert,train,4TpJ1FT2w6Y.001,4.516384
hubert,train,4TpJ1FT2w6Y.003,4.189977
hubert,train,4TpJ1FT2w6Y.004,4.3768163
hubert,train,4TpJ1FT2w6Y.005,4.488143
hubert,train,4V7doeEKsus.001,4.3594394
hubert,train,4V7doeEKsus.002,4.0568953
hubert,train,4VwcU0ROy5k.001,4.0112643
hubert,train,4VwcU0ROy5k.002,4.049834
hubert,train,4VwcU0ROy5k.004,4.10345
hubert,train,4XdZDodpzac.000,4.182592
hubert,train,4XdZDodpzac.003,4.2755303
hubert,train,4ZlcaXadwlo.000,4.0970116
hubert,train,4ZlcaXadwlo.001,4.266434
hubert,train,4ZlcaXadwlo.003,3.9869275
hubert,train,4ZlcaXadwlo.005,6.058252
hubert,train,4a6-tNo-NDM.000,3.9463663
hubert,train,4bDOetaLvZs.001,6.736524
hubert,train,4bDOetaLvZs.004,4.821431
hubert,train,4bDOetaLvZs.005,4.4697676
hubert,train,4fN-DKUzgWQ.001,4.7593837
hubert,train,4fN-DKUzgWQ.005,4.3780503
hubert,train,4kIHxR6s1L4.001,4.2209306
hubert,train,4kIHxR6s1L4.004,4.2559824
hubert,train,4kIHxR6s1L4.005,4.1155086
hubert,train,4lH5nLSwmoM.001,4.3975887
hubert,train,4lH5nLSwmoM.003,4.152227
hubert,train,4lIbWq27O84.000,4.4365716
hubert,train,4lIbWq27O84.001,4.3133945
hubert,train,4lIbWq27O84.002,4.3713737
hubert,train,4lj66h4CXI8.002,4.077226
hubert,train,4lj66h4CXI8.003,3.9831884
hubert,train,4lj66h4CXI8.005,3.8267338
hubert,train,4lyKh2_xCDQ.003,4.1785865
hubert,train,4lyKh2_xCDQ.004,4.213728
hubert,train,4nJLbAKgwfw.005,4.171257
hubert,train,4nir0YtjHVs.001,3.929166
hubert,train,4nir0YtjHVs.002,3.841676
hubert,train,4sCa35TOxgs.001,3.9318569
hubert,train,4vJ69g7gAH4.001,4.467188
hubert,train,4vdJGgZpj4k.004,4.319005
hubert,train,4vdJGgZpj4k.005,4.403609
hubert,train,4xdT0Uedsro.000,4.2734213
