feature,count,mean,std,min,25%,50%,75%,max,missing_count,missing_ratio
loudness_sma3_pctlrange0-2,9974.0,0.7694413010891318,0.39711053713407596,0.0,0.485127935,0.711167585,1.0024306250000001,3.7546165,0,0.0
loudness_sma3_meanRisingSlope,9974.0,9.990818012586725,5.035986122607576,0.65888494,6.33686385,9.192474,12.84280075,40.705193,0,0.0
loudness_sma3_stddevRisingSlope,9974.0,5.941057046037698,3.0751218928405906,0.4034422,3.686308475,5.4145501,7.62375795,31.138748,0,0.0
loudness_sma3_meanFallingSlope,9974.0,6.816156480821134,3.4627110847668097,0.45545024,4.31310125,6.332273799999999,8.73059925,34.18321,0,0.0
loudness_sma3_stddevFallingSlope,9974.0,4.021634532642872,1.9948141715744552,0.19724712,2.63314515,3.732195,5.067412325,22.017271,0,0.0
spectralFlux_sma3_amean,9974.0,0.32839301774278123,0.24740004515161215,0.009558673,0.1574625175,0.27428688,0.44649978,2.8901775,0,0.0
spectralFlux_sma3_stddevNorm,9974.0,0.8826359506757571,0.22388726408915519,0.26240015,0.7435401425,0.860848515,0.9957363125,3.106566,0,0.0
mfcc1_sma3_amean,9974.0,20.689466631318023,6.054540182207896,-11.106612,16.88360475,20.6834155,24.6421615,44.170902,0,0.0
mfcc1_sma3_stddevNorm,9974.0,0.46329915513094044,26.205278698989638,-2598.684,0.4878186,0.630294025,0.8268917425,207.25485,0,0.0
mfcc2_sma3_amean,9974.0,-1.718741212518541,8.386386014214047,-35.745117,-7.33404025,-1.41045935,4.101747400000001,26.387854,0,0.0
mfcc2_sma3_stddevNorm,9974.0,4.307422155946461,541.2656990365958,-29384.943,-2.757018575,-1.08472355,2.3066325,41844.992,0,0.0
mfcc3_sma3_amean,9974.0,8.254937368619993,7.428566557316487,-23.214752,3.1737478,8.249198,13.369466875,33.687077,0,0.0
mfcc3_sma3_stddevNorm,9974.0,-0.6588710843041914,155.02948090673036,-11007.471,0.9204302950000001,1.4527838,2.6148018000000004,4187.925,0,0.0
mfcc4_sma3_amean,9974.0,-6.682764729114357,8.673792463730443,-44.88402,-12.352537,-6.451366350000001,-0.8102670975,25.283508,0,0.0
mfcc4_sma3_stddevNorm,9974.0,-0.9284589759414476,47.20899285937185,-1759.9159,-2.576383725,-1.36293135,-0.70550589,1428.1718,0,0.0
jitterLocal_sma3nz_amean,9974.0,0.02289810236353519,0.008047931637784436,0.0,0.017634246,0.021201525,0.02587940125,0.10240407,0,0.0
jitterLocal_sma3nz_stddevNorm,9974.0,1.6355764275897335,0.4234891878014952,0.0,1.340410275,1.6017146,1.87514,4.0643044,0,0.0
shimmerLocaldB_sma3nz_amean,9974.0,1.2129686581562062,0.18596937080623738,0.0,1.09564405,1.19309675,1.301127725,3.0781717,0,0.0
shimmerLocaldB_sma3nz_stddevNorm,9974.0,0.6483078554842591,0.10773095076838886,0.0,0.5704555250000001,0.64005603,0.7164150149999999,1.3476225,0,0.0
HNRdBACF_sma3nz_amean,9974.0,5.648239396886405,1.8642987335120198,-3.4195583,4.3232687499999995,5.6635483,6.962986475,11.467363,0,0.0
HNRdBACF_sma3nz_stddevNorm,9974.0,0.5913581388656507,2.3296139692641322,-177.94824,0.4627780275,0.5515861,0.6748832,27.175411,0,0.0
logRelF0-H1-H2_sma3nz_amean,9974.0,4.664888329523129,4.20594542002105,-50.352398,2.249301525,4.6239047,6.99574895,51.53361,0,0.0
logRelF0-H1-H2_sma3nz_stddevNorm,9974.0,0.006917866216061422,459.87843550989174,-42046.21,1.219168475,1.86425465,3.1029352,15805.914,0,0.0
logRelF0-H1-A3_sma3nz_amean,9974.0,18.872225533070985,6.173757791483021,-31.318827,14.89226175,18.676457,22.823218750000002,45.59492,0,0.0
logRelF0-H1-A3_sma3nz_stddevNorm,9974.0,0.6931721521475436,4.232458098304737,-226.98552,0.44608144250000004,0.579682795,0.7803077949999999,236.00414,0,0.0
F1frequency_sma3nz_amean,9974.0,698.5672017946662,95.50796125251448,0.0,631.1576200000001,693.64108,757.293465,1080.736,0,0.0
F1frequency_sma3nz_stddevNorm,9974.0,0.3424673607229798,0.052116439904502744,0.0,0.30763891,0.34546502999999995,0.3809009025,0.49412167,0,0.0
F1bandwidth_sma3nz_amean,9974.0,1328.2814207990775,78.66138787387092,0.0,1289.257275,1340.2232,1382.3447,1513.8441,0,0.0
F1bandwidth_sma3nz_stddevNorm,9974.0,0.1910706667802286,0.03706918119899698,0.0,0.1656335875,0.18448718,0.20957276,0.4432268,0,0.0
F1amplitudeLogRelF0_sma3nz_amean,9974.0,-104.50115924644075,24.924471543995434,-201.0,-119.22418375000001,-102.481458,-87.68155250000001,-11.712693,0,0.0
F1amplitudeLogRelF0_sma3nz_stddevNorm,9974.0,-0.9230407923022859,0.24703888747085231,-6.525389,-1.06011555,-0.9148947700000001,-0.776469545,0.0,0,0.0
F2frequency_sma3nz_amean,9974.0,1721.2515192801286,80.94497482897779,0.0,1669.619625,1719.08695,1767.61885,2078.785,0,0.0
F2frequency_sma3nz_stddevNorm,9974.0,0.14753661651283334,0.019912956253875437,0.0,0.1325896625,0.14691832500000002,0.16237956,0.26065052,0,0.0
F2bandwidth_sma3nz_amean,9974.0,1054.1551481431723,74.04493601536478,0.0,1005.1313299999999,1058.6543,1106.72745,1410.299,0,0.0
F2bandwidth_sma3nz_stddevNorm,9974.0,0.31568982263936235,0.04759186281164459,0.0,0.28357034,0.31339579,0.3439892825,0.56604296,0,0.0
F2amplitudeLogRelF0_sma3nz_amean,9974.0,-102.55958152205736,24.76067382551003,-201.0,-117.28618800000001,-100.42051000000001,-85.9364625,-15.749222,0,0.0
F2amplitudeLogRelF0_sma3nz_stddevNorm,9974.0,-0.891587673928815,0.22352781900139407,-4.1277056,-1.01699895,-0.886024685,-0.754749035,0.0,0,0.0
F3frequency_sma3nz_amean,9974.0,2752.4148644575894,76.04085396340437,0.0,2704.191025,2752.5001,2799.4242249999998,3096.0913,0,0.0
F3frequency_sma3nz_stddevNorm,9974.0,0.09880312110978544,0.012389445973840995,0.0,0.09034998999999999,0.098193115,0.1069332775,0.18494697,0,0.0
F3bandwidth_sma3nz_amean,9974.0,965.3527900391016,67.34692623545278,0.0,922.3967749999999,969.299895,1010.4812625,1207.1017,0,0.0
F3bandwidth_sma3nz_stddevNorm,9974.0,0.351670824441548,0.04904774184747856,0.0,0.318501515,0.34921662499999995,0.38243811,0.76887524,0,0.0
F3amplitudeLogRelF0_sma3nz_amean,9974.0,-104.90639870052135,24.207498648070562,-201.0,-119.4274525,-102.64786799999999,-88.64367,-18.716427,0,0.0
F3amplitudeLogRelF0_sma3nz_stddevNorm,9974.0,-0.8445842360407059,0.20129838966269725,-3.3526342,-0.961209975,-0.8422738999999999,-0.719494335,0.0,0,0.0
alphaRatioV_sma3nz_amean,9974.0,-10.19645038284576,4.558310599688225,-29.511118,-13.2021975,-9.8679565,-7.0367464,13.157184,0,0.0
alphaRatioV_sma3nz_stddevNorm,9974.0,-0.9707058456674353,16.583164809810466,-1403.8024,-1.023777175,-0.724137845,-0.5305389,597.22784,0,0.0
hammarbergIndexV_sma3nz_amean,9974.0,20.1984119899238,4.889346070217284,-3.5272772,16.812326,19.8749545,23.32967025,43.88082,0,0.0
hammarbergIndexV_sma3nz_stddevNorm,9974.0,0.4464221180181872,0.17298529957337358,-2.092326,0.347143745,0.42174804499999996,0.5107747250000001,7.9347086,0,0.0
slopeV0-500_sma3nz_amean,9974.0,0.03854236551960106,0.026492252037689096,-0.09721921,0.02069303875,0.0402948315,0.05826421925,0.11333936,0,0.0
slopeV0-500_sma3nz_stddevNorm,9974.0,0.9819756197102465,36.47741812093781,-1069.0908,0.3103132675,0.47193354,0.8946746750000001,2231.4316,0,0.0
slopeV500-1500_sma3nz_amean,9974.0,-0.013920913273187209,0.008192093084415951,-0.05223626,-0.01894889125,-0.0138874145,-0.008975819749999999,0.024350055,0,0.0
slopeV500-1500_sma3nz_stddevNorm,9974.0,-4.9839849344235,346.769605003215,-34167.78,-1.5413056250000001,-1.03092355,-0.742718525,3755.91,0,0.0
spectralFluxV_sma3nz_amean,9974.0,0.4290803668720674,0.3034041549963387,0.0,0.2119426875,0.366524635,0.5840673000000001,3.3818703,0,0.0
spectralFluxV_sma3nz_stddevNorm,9974.0,0.6715989698636454,0.15173694380846342,0.0,0.5729242075000001,0.6565037499999999,0.75409131,1.9051083,0,0.0
mfcc1V_sma3nz_amean,9974.0,26.87296907068378,6.36150460472048,-8.884542,22.715536750000002,26.82499,31.1835405,49.96311,0,0.0
mfcc1V_sma3nz_stddevNorm,9974.0,0.38860046428133144,0.2257699959721745,-2.192833,0.28089918,0.34697652,0.4392102025,7.8344336,0,0.0
mfcc2V_sma3nz_amean,9974.0,-4.4161069273058,9.673206021000656,-38.36647,-11.273701625000001,-4.452505,2.18979085,29.204195,0,0.0
mfcc2V_sma3nz_stddevNorm,9974.0,2.992461190139363,971.4097742794756,-44164.742,-2.3284336,-1.133235,1.4257690250000001,85277.69,0,0.0
mfcc3V_sma3nz_amean,9974.0,8.91623230418365,8.736422378975602,-21.109121,2.9198638,8.774057500000001,14.97341325,42.10008,0,0.0
mfcc3V_sma3nz_stddevNorm,9974.0,48.4277898995764,4536.086187830294,-5631.067,0.832454275,1.3973840499999999,2.6718599750000003,452765.7,0,0.0
mfcc4V_sma3nz_amean,9974.0,-10.829825119401633,10.130115232317882,-55.222477,-17.9799855,-10.911854,-4.069228125,23.909803,0,0.0
mfcc4V_sma3nz_stddevNorm,9974.0,-17.002569164179864,1486.3616278233194,-147901.77,-1.9313886,-1.08552675,-0.686205905,7472.352,0,0.0
alphaRatioUV_sma3nz_amean,9974.0,-6.021846839493596,4.744701017602995,-32.716957,-8.830949500000001,-5.76179815,-2.822941325,11.040712,0,0.0
hammarbergIndexUV_sma3nz_amean,9974.0,14.41050777691157,5.2868486381898,-2.60066,10.83479175,13.89203,17.392826499999998,44.993805,0,0.0
slopeUV0-500_sma3nz_amean,9974.0,0.020422264362483712,0.02999612749655398,-0.08944191,-0.0004977189250000001,0.0190414245,0.040858282499999996,0.12764084,0,0.0
slopeUV500-1500_sma3nz_amean,9974.0,-0.00024007900854299582,0.009179140314634626,-0.03176554,-0.00642245175,-0.000797014945,0.0052433239,0.06849408,0,0.0
spectralFluxUV_sma3nz_amean,9974.0,0.2112000314314217,0.19179297015995905,0.0054979627,0.088267114,0.1645762,0.275970095,2.4721565,0,0.0
loudnessPeaksPerSec,9974.0,3.489954513391819,0.749919244889207,0.46697798,3.0020013,3.5356905,4.0026684,5.9372916,0,0.0
VoicedSegmentsPerSec,9974.0,2.662413246712452,0.6150417047146113,0.0,2.2757697,2.6773763,3.0789826,5.3655267,0,0.0
MeanVoicedSegmentLengthSec,9974.0,0.19533868786154,0.06801018626908098,0.0,0.14873004750000002,0.186988365,0.2316129,0.7177778,0,0.0
StddevVoicedSegmentLengthSec,9974.0,0.16314838469686185,0.06421335813825865,0.0,0.1212940475,0.15286331,0.1925908175,0.9277585,0,0.0
MeanUnvoicedSegmentLength,9974.0,0.19653508712021256,0.2321907475035743,0.049999997,0.1323568025,0.16534108,0.21643592,14.929999,0,0.0
StddevUnvoicedSegmentLength,9974.0,0.2277148799316222,0.2138174932723222,0.0,0.129859065,0.180438935,0.25917453749999997,5.41,0,0.0
equivalentSoundLevel_dBp,9974.0,-24.893958992921597,6.3324799194836014,-52.739777,-28.591134250000003,-24.0293645,-20.2349565,-4.856959,0,0.0
