clip_id,split_official,audio_in,audio_out,orig_duration_sec,flag_short,video_path,best_stream,mono_mode,raw_wav,best_rms,best_peak
-9BZ8A9U7TE.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-9BZ8A9U7TE.000.wav,output\preprocessing\preprocessed_full\-9BZ8A9U7TE.000.wav,15.3019375,0,,,,,,
-9BZ8A9U7TE.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-9BZ8A9U7TE.003.wav,output\preprocessing\preprocessed_full\-9BZ8A9U7TE.003.wav,15.3019375,0,,,,,,
-9BZ8A9U7TE.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-9BZ8A9U7TE.004.wav,output\preprocessing\preprocessed_full\-9BZ8A9U7TE.004.wav,15.3019375,0,,,,,,
-AmMDnVl4s8.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-AmMDnVl4s8.003.wav,output\preprocessing\preprocessed_full\-AmMDnVl4s8.003.wav,15.3019375,0,,,,,,
-C5M9g4Quzc.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-C5M9g4Quzc.002.wav,output\preprocessing\preprocessed_full\-C5M9g4Quzc.002.wav,15.3019375,0,,,,,,
-DOqN0d8KHw.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-DOqN0d8KHw.002.wav,output\preprocessing\preprocessed_full\-DOqN0d8KHw.002.wav,15.3019375,0,,,,,,
-DOqN0d8KHw.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-DOqN0d8KHw.003.wav,output\preprocessing\preprocessed_full\-DOqN0d8KHw.003.wav,15.3019375,0,,,,,,
-Gl98Jn45Fs.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-Gl98Jn45Fs.000.wav,output\preprocessing\preprocessed_full\-Gl98Jn45Fs.000.wav,15.3019375,0,,,,,,
-Gl98Jn45Fs.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-Gl98Jn45Fs.001.wav,output\preprocessing\preprocessed_full\-Gl98Jn45Fs.001.wav,15.3019375,0,,,,,,
-Gl98Jn45Fs.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-Gl98Jn45Fs.003.wav,output\preprocessing\preprocessed_full\-Gl98Jn45Fs.003.wav,15.3019375,0,,,,,,
-IK--4uz5ZY.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-IK--4uz5ZY.000.wav,output\preprocessing\preprocessed_full\-IK--4uz5ZY.000.wav,15.3019375,0,,,,,,
-IK--4uz5ZY.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-IK--4uz5ZY.002.wav,output\preprocessing\preprocessed_full\-IK--4uz5ZY.002.wav,15.3019375,0,,,,,,
-IK--4uz5ZY.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-IK--4uz5ZY.003.wav,output\preprocessing\preprocessed_full\-IK--4uz5ZY.003.wav,15.3019375,0,,,,,,
-IK--4uz5ZY.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-IK--4uz5ZY.004.wav,output\preprocessing\preprocessed_full\-IK--4uz5ZY.004.wav,15.3019375,0,,,,,,
-N6QKrbnaDs.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-N6QKrbnaDs.005.wav,output\preprocessing\preprocessed_full\-N6QKrbnaDs.005.wav,6.2461875,1,,,,,,
-NwfYYf5xLo.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-NwfYYf5xLo.005.wav,output\preprocessing\preprocessed_full\-NwfYYf5xLo.005.wav,15.3019375,0,,,,,,
-OXMbG7ZwRk.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-OXMbG7ZwRk.000.wav,output\preprocessing\preprocessed_full\-OXMbG7ZwRk.000.wav,15.3019375,0,,,,,,
-OXMbG7ZwRk.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-OXMbG7ZwRk.003.wav,output\preprocessing\preprocessed_full\-OXMbG7ZwRk.003.wav,15.3019375,0,,,,,,
-OXMbG7ZwRk.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-OXMbG7ZwRk.004.wav,output\preprocessing\preprocessed_full\-OXMbG7ZwRk.004.wav,15.3019375,0,,,,,,
-OXMbG7ZwRk.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-OXMbG7ZwRk.005.wav,output\preprocessing\preprocessed_full\-OXMbG7ZwRk.005.wav,15.3019375,0,,,,,,
-Osv5l1vrNU.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-Osv5l1vrNU.001.wav,output\preprocessing\preprocessed_full\-Osv5l1vrNU.001.wav,15.3019375,0,,,,,,
-Osv5l1vrNU.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-Osv5l1vrNU.004.wav,output\preprocessing\preprocessed_full\-Osv5l1vrNU.004.wav,15.3019375,0,,,,,,
-R2SZu3SYgM.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-R2SZu3SYgM.000.wav,output\preprocessing\preprocessed_full\-R2SZu3SYgM.000.wav,15.3019375,0,,,,,,
-R2SZu3SYgM.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-R2SZu3SYgM.004.wav,output\preprocessing\preprocessed_full\-R2SZu3SYgM.004.wav,15.3019375,0,,,,,,
-RhPxhfpg4U.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-RhPxhfpg4U.001.wav,output\preprocessing\preprocessed_full\-RhPxhfpg4U.001.wav,15.3019375,0,,,,,,
-RhPxhfpg4U.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-RhPxhfpg4U.003.wav,output\preprocessing\preprocessed_full\-RhPxhfpg4U.003.wav,15.3019375,0,,,,,,
-RhPxhfpg4U.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-RhPxhfpg4U.005.wav,output\preprocessing\preprocessed_full\-RhPxhfpg4U.005.wav,15.3019375,0,,,,,,
-VTqcHNgH7M.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-VTqcHNgH7M.002.wav,output\preprocessing\preprocessed_full\-VTqcHNgH7M.002.wav,15.3019375,0,,,,,,
-VTqcHNgH7M.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-VTqcHNgH7M.003.wav,output\preprocessing\preprocessed_full\-VTqcHNgH7M.003.wav,15.3019375,0,,,,,,
-VTqcHNgH7M.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-VTqcHNgH7M.004.wav,output\preprocessing\preprocessed_full\-VTqcHNgH7M.004.wav,15.3019375,0,,,,,,
-Wqk9eex6bQ.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-Wqk9eex6bQ.002.wav,output\preprocessing\preprocessed_full\-Wqk9eex6bQ.002.wav,15.3019375,0,,,,,,
-Wqk9eex6bQ.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-Wqk9eex6bQ.003.wav,output\preprocessing\preprocessed_full\-Wqk9eex6bQ.003.wav,15.3019375,0,,,,,,
-Wqk9eex6bQ.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-Wqk9eex6bQ.004.wav,output\preprocessing\preprocessed_full\-Wqk9eex6bQ.004.wav,15.3019375,0,,,,,,
-Wqk9eex6bQ.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-Wqk9eex6bQ.005.wav,output\preprocessing\preprocessed_full\-Wqk9eex6bQ.005.wav,15.3019375,0,,,,,,
-aU2FN5pkWA.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-aU2FN5pkWA.001.wav,output\preprocessing\preprocessed_full\-aU2FN5pkWA.001.wav,15.3019375,0,,,,,,
-aU2FN5pkWA.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-aU2FN5pkWA.004.wav,output\preprocessing\preprocessed_full\-aU2FN5pkWA.004.wav,15.3019375,0,,,,,,
-agCXYgb7pI.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-agCXYgb7pI.004.wav,output\preprocessing\preprocessed_full\-agCXYgb7pI.004.wav,15.3019375,0,,,,,,
-awAu11kBZ0.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-awAu11kBZ0.000.wav,output\preprocessing\preprocessed_full\-awAu11kBZ0.000.wav,15.3019375,0,,,,,,
-c2HtptBFxY.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-c2HtptBFxY.002.wav,output\preprocessing\preprocessed_full\-c2HtptBFxY.002.wav,15.3019375,0,,,,,,
-c_tyGzShwk.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-c_tyGzShwk.004.wav,output\preprocessing\preprocessed_full\-c_tyGzShwk.004.wav,15.3019375,0,,,,,,
-fXqnCljdm0.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-fXqnCljdm0.000.wav,output\preprocessing\preprocessed_full\-fXqnCljdm0.000.wav,15.3019375,0,,,,,,
-fXqnCljdm0.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-fXqnCljdm0.003.wav,output\preprocessing\preprocessed_full\-fXqnCljdm0.003.wav,15.3019375,0,,,,,,
-fqiCqZtgYs.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-fqiCqZtgYs.001.wav,output\preprocessing\preprocessed_full\-fqiCqZtgYs.001.wav,15.3019375,0,,,,,,
-fqiCqZtgYs.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-fqiCqZtgYs.002.wav,output\preprocessing\preprocessed_full\-fqiCqZtgYs.002.wav,15.3019375,0,,,,,,
-fqiCqZtgYs.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-fqiCqZtgYs.003.wav,output\preprocessing\preprocessed_full\-fqiCqZtgYs.003.wav,15.3019375,0,,,,,,
-mt-IKgGhuY.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-mt-IKgGhuY.004.wav,output\preprocessing\preprocessed_full\-mt-IKgGhuY.004.wav,15.3019375,0,,,,,,
-utrsarZeIY.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-utrsarZeIY.001.wav,output\preprocessing\preprocessed_full\-utrsarZeIY.001.wav,15.3019375,0,,,,,,
-utrsarZeIY.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-utrsarZeIY.004.wav,output\preprocessing\preprocessed_full\-utrsarZeIY.004.wav,15.3019375,0,,,,,,
-zNyDPzId4E.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-zNyDPzId4E.001.wav,output\preprocessing\preprocessed_full\-zNyDPzId4E.001.wav,15.3019375,0,,,,,,
-zNyDPzId4E.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\-zNyDPzId4E.003.wav,output\preprocessing\preprocessed_full\-zNyDPzId4E.003.wav,15.3019375,0,,,,,,
01qN-BqJXRM.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\01qN-BqJXRM.005.wav,output\preprocessing\preprocessed_full\01qN-BqJXRM.005.wav,15.3019375,0,,,,,,
04oq2yrBwMg.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\04oq2yrBwMg.001.wav,output\preprocessing\preprocessed_full\04oq2yrBwMg.001.wav,15.3019375,0,,,,,,
04oq2yrBwMg.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\04oq2yrBwMg.004.wav,output\preprocessing\preprocessed_full\04oq2yrBwMg.004.wav,15.3019375,0,,,,,,
05l5bteT_qA.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\05l5bteT_qA.000.wav,output\preprocessing\preprocessed_full\05l5bteT_qA.000.wav,15.3019375,0,,,,,,
05l5bteT_qA.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\05l5bteT_qA.001.wav,output\preprocessing\preprocessed_full\05l5bteT_qA.001.wav,15.3019375,0,,,,,,
0C6i34q2-f8.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0C6i34q2-f8.000.wav,output\preprocessing\preprocessed_full\0C6i34q2-f8.000.wav,15.3019375,0,,,,,,
0C6i34q2-f8.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0C6i34q2-f8.001.wav,output\preprocessing\preprocessed_full\0C6i34q2-f8.001.wav,15.3019375,0,,,,,,
0C6i34q2-f8.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0C6i34q2-f8.003.wav,output\preprocessing\preprocessed_full\0C6i34q2-f8.003.wav,15.3019375,0,,,,,,
0D7W2pR4RpQ.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0D7W2pR4RpQ.004.wav,output\preprocessing\preprocessed_full\0D7W2pR4RpQ.004.wav,15.3019375,0,,,,,,
0FVu7VKIg2s.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0FVu7VKIg2s.000.wav,output\preprocessing\preprocessed_full\0FVu7VKIg2s.000.wav,15.3019375,0,,,,,,
0G9vplL8ae8.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0G9vplL8ae8.001.wav,output\preprocessing\preprocessed_full\0G9vplL8ae8.001.wav,15.3019375,0,,,,,,
0G9vplL8ae8.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0G9vplL8ae8.003.wav,output\preprocessing\preprocessed_full\0G9vplL8ae8.003.wav,15.3019375,0,,,,,,
0LqfKzp11kg.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0LqfKzp11kg.000.wav,output\preprocessing\preprocessed_full\0LqfKzp11kg.000.wav,15.3019375,0,,,,,,
0MB91ku0eEw.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0MB91ku0eEw.003.wav,output\preprocessing\preprocessed_full\0MB91ku0eEw.003.wav,15.3019375,0,,,,,,
0ObEtA6Q8vU.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0ObEtA6Q8vU.002.wav,output\preprocessing\preprocessed_full\0ObEtA6Q8vU.002.wav,15.3019375,0,,,,,,
0ObEtA6Q8vU.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0ObEtA6Q8vU.003.wav,output\preprocessing\preprocessed_full\0ObEtA6Q8vU.003.wav,15.3019375,0,,,,,,
0ObEtA6Q8vU.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0ObEtA6Q8vU.005.wav,output\preprocessing\preprocessed_full\0ObEtA6Q8vU.005.wav,15.3019375,0,,,,,,
0QTR0WiJSNk.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0QTR0WiJSNk.001.wav,output\preprocessing\preprocessed_full\0QTR0WiJSNk.001.wav,15.3019375,0,,,,,,
0RLFM1ehSFM.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0RLFM1ehSFM.000.wav,output\preprocessing\preprocessed_full\0RLFM1ehSFM.000.wav,15.3019375,0,,,,,,
0VnZngec8sc.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0VnZngec8sc.001.wav,output\preprocessing\preprocessed_full\0VnZngec8sc.001.wav,15.3019375,0,,,,,,
0VnZngec8sc.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0VnZngec8sc.003.wav,output\preprocessing\preprocessed_full\0VnZngec8sc.003.wav,15.3019375,0,,,,,,
0VnZngec8sc.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0VnZngec8sc.004.wav,output\preprocessing\preprocessed_full\0VnZngec8sc.004.wav,15.3019375,0,,,,,,
0Wr69VD_oXI.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0Wr69VD_oXI.004.wav,output\preprocessing\preprocessed_full\0Wr69VD_oXI.004.wav,15.3019375,0,,,,,,
0ZK5jQAvhFo.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0ZK5jQAvhFo.004.wav,output\preprocessing\preprocessed_full\0ZK5jQAvhFo.004.wav,15.3019375,0,,,,,,
0_xOGmydDN0.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0_xOGmydDN0.001.wav,output\preprocessing\preprocessed_full\0_xOGmydDN0.001.wav,15.3019375,0,,,,,,
0_xOGmydDN0.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0_xOGmydDN0.002.wav,output\preprocessing\preprocessed_full\0_xOGmydDN0.002.wav,15.3019375,0,,,,,,
0_xOGmydDN0.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0_xOGmydDN0.003.wav,output\preprocessing\preprocessed_full\0_xOGmydDN0.003.wav,15.3019375,0,,,,,,
0_xOGmydDN0.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0_xOGmydDN0.004.wav,output\preprocessing\preprocessed_full\0_xOGmydDN0.004.wav,15.3019375,0,,,,,,
0axZSeaUbfs.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0axZSeaUbfs.002.wav,output\preprocessing\preprocessed_full\0axZSeaUbfs.002.wav,15.3019375,0,,,,,,
0axZSeaUbfs.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0axZSeaUbfs.004.wav,output\preprocessing\preprocessed_full\0axZSeaUbfs.004.wav,15.3019375,0,,,,,,
0axZSeaUbfs.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0axZSeaUbfs.005.wav,output\preprocessing\preprocessed_full\0axZSeaUbfs.005.wav,15.3019375,0,,,,,,
0dIqLMMn4jY.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0dIqLMMn4jY.000.wav,output\preprocessing\preprocessed_full\0dIqLMMn4jY.000.wav,15.3019375,0,,,,,,
0fMw9o1v2tY.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0fMw9o1v2tY.001.wav,output\preprocessing\preprocessed_full\0fMw9o1v2tY.001.wav,15.3019375,0,,,,,,
0fMw9o1v2tY.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0fMw9o1v2tY.002.wav,output\preprocessing\preprocessed_full\0fMw9o1v2tY.002.wav,15.3019375,0,,,,,,
0fMw9o1v2tY.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0fMw9o1v2tY.003.wav,output\preprocessing\preprocessed_full\0fMw9o1v2tY.003.wav,15.3019375,0,,,,,,
0gv5Z0qt2jc.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0gv5Z0qt2jc.000.wav,output\preprocessing\preprocessed_full\0gv5Z0qt2jc.000.wav,15.3019375,0,,,,,,
0gv5Z0qt2jc.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0gv5Z0qt2jc.001.wav,output\preprocessing\preprocessed_full\0gv5Z0qt2jc.001.wav,15.3019375,0,,,,,,
0gv5Z0qt2jc.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0gv5Z0qt2jc.002.wav,output\preprocessing\preprocessed_full\0gv5Z0qt2jc.002.wav,15.3019375,0,,,,,,
0gv5Z0qt2jc.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0gv5Z0qt2jc.003.wav,output\preprocessing\preprocessed_full\0gv5Z0qt2jc.003.wav,15.3019375,0,,,,,,
0gv5Z0qt2jc.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0gv5Z0qt2jc.004.wav,output\preprocessing\preprocessed_full\0gv5Z0qt2jc.004.wav,15.3019375,0,,,,,,
0gv5Z0qt2jc.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0gv5Z0qt2jc.005.wav,output\preprocessing\preprocessed_full\0gv5Z0qt2jc.005.wav,15.3019375,0,,,,,,
0hWbtuRVUgM.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0hWbtuRVUgM.001.wav,output\preprocessing\preprocessed_full\0hWbtuRVUgM.001.wav,15.3019375,0,,,,,,
0hWbtuRVUgM.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0hWbtuRVUgM.005.wav,output\preprocessing\preprocessed_full\0hWbtuRVUgM.005.wav,15.3019375,0,,,,,,
0iQIfGnKflc.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0iQIfGnKflc.001.wav,output\preprocessing\preprocessed_full\0iQIfGnKflc.001.wav,15.3019375,0,,,,,,
0iQIfGnKflc.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0iQIfGnKflc.002.wav,output\preprocessing\preprocessed_full\0iQIfGnKflc.002.wav,15.3019375,0,,,,,,
0iXXdsO95O0.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0iXXdsO95O0.000.wav,output\preprocessing\preprocessed_full\0iXXdsO95O0.000.wav,15.3019375,0,,,,,,
0kg6pmbSN6A.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0kg6pmbSN6A.000.wav,output\preprocessing\preprocessed_full\0kg6pmbSN6A.000.wav,15.3019375,0,,,,,,
0kg6pmbSN6A.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0kg6pmbSN6A.001.wav,output\preprocessing\preprocessed_full\0kg6pmbSN6A.001.wav,15.3019375,0,,,,,,
0kg6pmbSN6A.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0kg6pmbSN6A.002.wav,output\preprocessing\preprocessed_full\0kg6pmbSN6A.002.wav,15.3019375,0,,,,,,
0kg6pmbSN6A.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0kg6pmbSN6A.005.wav,output\preprocessing\preprocessed_full\0kg6pmbSN6A.005.wav,15.3019375,0,,,,,,
0mym1CooiTE.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0mym1CooiTE.000.wav,output\preprocessing\preprocessed_full\0mym1CooiTE.000.wav,15.3019375,0,,,,,,
0mym1CooiTE.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0mym1CooiTE.001.wav,output\preprocessing\preprocessed_full\0mym1CooiTE.001.wav,15.3019375,0,,,,,,
0mym1CooiTE.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0mym1CooiTE.003.wav,output\preprocessing\preprocessed_full\0mym1CooiTE.003.wav,15.3019375,0,,,,,,
0mym1CooiTE.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0mym1CooiTE.004.wav,output\preprocessing\preprocessed_full\0mym1CooiTE.004.wav,15.3019375,0,,,,,,
0n2vWTs6XwA.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0n2vWTs6XwA.001.wav,output\preprocessing\preprocessed_full\0n2vWTs6XwA.001.wav,15.3019375,0,,,,,,
0tse0Fsy_rg.001,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0tse0Fsy_rg.001.wav,output\preprocessing\preprocessed_full\0tse0Fsy_rg.001.wav,15.3019375,0,,,,,,
0tse0Fsy_rg.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0tse0Fsy_rg.002.wav,output\preprocessing\preprocessed_full\0tse0Fsy_rg.002.wav,15.3019375,0,,,,,,
0tse0Fsy_rg.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0tse0Fsy_rg.004.wav,output\preprocessing\preprocessed_full\0tse0Fsy_rg.004.wav,15.3019375,0,,,,,,
0u56Q_QmxIM.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0u56Q_QmxIM.002.wav,output\preprocessing\preprocessed_full\0u56Q_QmxIM.002.wav,15.3019375,0,,,,,,
0u56Q_QmxIM.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0u56Q_QmxIM.004.wav,output\preprocessing\preprocessed_full\0u56Q_QmxIM.004.wav,15.3019375,0,,,,,,
0uCqd5hZcyI.000,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0uCqd5hZcyI.000.wav,output\preprocessing\preprocessed_full\0uCqd5hZcyI.000.wav,15.3019375,0,,,,,,
0uCqd5hZcyI.005,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0uCqd5hZcyI.005.wav,output\preprocessing\preprocessed_full\0uCqd5hZcyI.005.wav,15.3019375,0,,,,,,
0zJcYnsh55g.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\0zJcYnsh55g.003.wav,output\preprocessing\preprocessed_full\0zJcYnsh55g.003.wav,15.3019375,0,,,,,,
1-GgVRmAEoo.002,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\1-GgVRmAEoo.002.wav,output\preprocessing\preprocessed_full\1-GgVRmAEoo.002.wav,15.3019375,0,,,,,,
1-GgVRmAEoo.003,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\1-GgVRmAEoo.003.wav,output\preprocessing\preprocessed_full\1-GgVRmAEoo.003.wav,15.3019375,0,,,,,,
1-GgVRmAEoo.004,train,e:\tugas-akhir-qiqi\Dataset\Train\train\audio\1-GgVRmAEoo.004.wav,output\preprocessing\preprocessed_full\1-GgVRmAEoo.004.wav,15.3019375,0,,,,,,
